date,department,test_type,tests_conducted,avg_tat,cost_per_test,total_cost,rejected_tests,rejection_reasons,patient_satisfaction,instrument_name,instrument_utilization
1-Jan-2025,Nephrology,Creatinine Clearance,17,1440,500,8500,1,Clotted Sample,4.2,Biochemistry Analyzer,83.54
1-Jan-2025,Nephrology,Electrolytes,11,60,300,3300,0,Unknown,3.7,Biochemistry Analyzer,81.48
1-Jan-2025,Nephrology,Renal Panel,9,120,600,5400,0,Unknown,3.2,Hematology Analyzer,85.18
1-Jan-2025,Nephrology,Urine Culture,10,2880,700,7000,1,Hemolyzed Sample,3,Hematology Analyzer,81.81
1-Jan-2025,Neurology,CT Brain,4,30,3000,12000,0,Unknown,3.3,CT Scanner,84.8
1-Jan-2025,Neurology,EEG,10,45,1500,15000,0,Unknown,4.8,Hematology Analyzer,78.38
1-Jan-2025,Neurology,Electrolytes,8,60,300,2400,0,Unknown,4,Biochemistry Analyzer,76.53
1-Jan-2025,Neurology,MRI Brain,9,60,5000,45000,1,Hemolyzed Sample,3.8,MRI Machine,79.45
1-Jan-2025,Orthopedics,Calcium,5,60,300,1500,1,Insufficient Volume,3.2,Hematology Analyzer,89.85
1-Jan-2025,Orthopedics,MRI Spine,11,60,5000,55000,0,Unknown,4,MRI Machine,80.67
1-Jan-2025,Orthopedics,Vitamin D,10,240,800,8000,0,Unknown,4,Hematology Analyzer,81.57
1-Jan-2025,Orthopedics,X-Ray,13,30,400,5200,0,Unknown,3.7,X-Ray Machine,82.86
1-Jan-2025,Pediatrics,CBC,10,60,200,2000,0,Unknown,4.2,Hematology Analyzer,77.6
1-Jan-2025,Pediatrics,Rapid Infection Panel,7,120,1200,8400,0,Unknown,4.3,Hematology Analyzer,87.96
1-Jan-2025,Pediatrics,Stool Test,12,60,200,2400,1,Instrument Failure,3.4,Hematology Analyzer,87.38
1-Jan-2025,Pediatrics,Urine Routine,10,90,150,1500,0,Unknown,3.6,Biochemistry Analyzer,77.34
1-Jan-2025,Pulmonology,ABG Analysis,5,20,500,2500,1,Contaminated Sample,4.4,Biochemistry Analyzer,74.3
1-Jan-2025,Pulmonology,Chest X-Ray,10,30,400,4000,0,Unknown,4.2,X-Ray Machine,76.43
1-Jan-2025,Pulmonology,Spirometry,20,30,600,12000,1,Clotted Sample,3.7,Spirometer,80.04
1-Jan-2025,Pulmonology,Sputum AFB,5,2880,500,2500,1,Insufficient Volume,3,Biochemistry Analyzer,80.06
2-Jan-2025,Cardiology,ECG,12,15,300,3600,0,Unknown,3.3,ECG Machine,77.31
2-Jan-2025,Cardiology,Echocardiogram,18,45,2000,36000,1,Hemolyzed Sample,4,ECG Machine,76.15
2-Jan-2025,Cardiology,Lipid Profile,9,180,600,5400,0,Unknown,3,Biochemistry Analyzer,80.76
2-Jan-2025,Cardiology,Troponin,8,60,700,5600,0,Unknown,4.2,Biochemistry Analyzer,71.92
2-Jan-2025,General Medicine,Blood Sugar,8,30,100,800,0,Unknown,3.5,Biochemistry Analyzer,77.02
2-Jan-2025,General Medicine,CBC,12,60,200,2400,0,Unknown,3.7,Biochemistry Analyzer,80.24
2-Jan-2025,General Medicine,LFT,7,120,400,2800,0,Unknown,3.3,Biochemistry Analyzer,78.88
2-Jan-2025,General Medicine,Lipid Profile,10,180,600,6000,0,Unknown,3.4,Hematology Analyzer,81.33
2-Jan-2025,General Medicine,Urine Routine,6,90,150,900,0,Unknown,4.4,Biochemistry Analyzer,76.03
2-Jan-2025,General Surgery,CBC,12,60,200,2400,0,Unknown,4.7,Hematology Analyzer,73.58
2-Jan-2025,General Surgery,Coagulation Profile,12,150,500,6000,2,"Hemolyzed Sample,Instrument Failure",3,Hematology Analyzer,68.43
2-Jan-2025,General Surgery,Crossmatch,10,240,800,8000,0,Unknown,3.4,Hematology Analyzer,70.77
2-Jan-2025,General Surgery,LFT,11,120,400,4400,0,Unknown,4.8,Biochemistry Analyzer,67.54
2-Jan-2025,Gynecology & OBG,CBC,10,60,200,2000,0,Unknown,4.2,Biochemistry Analyzer,71.29
2-Jan-2025,Gynecology & OBG,Hormone Panel,11,180,1500,16500,0,Unknown,4,Biochemistry Analyzer,84.34
2-Jan-2025,Gynecology & OBG,Pregnancy Test,9,20,250,2250,0,Unknown,3.2,Hematology Analyzer,85.28
2-Jan-2025,Gynecology & OBG,Ultrasound,9,45,1200,10800,1,Hemolyzed Sample,4,Ultrasound Machine,76.49
2-Jan-2025,Nephrology,Creatinine Clearance,11,1440,500,5500,3,"Contaminated Sample,Hemolyzed Sample,Contaminated Sample",3.3,Hematology Analyzer,80.48
2-Jan-2025,Nephrology,Electrolytes,10,60,300,3000,1,Instrument Failure,3.6,Biochemistry Analyzer,80.78
2-Jan-2025,Nephrology,Renal Panel,13,120,600,7800,0,Unknown,3.2,Hematology Analyzer,76.72
2-Jan-2025,Nephrology,Urine Culture,12,2880,700,8400,2,"Hemolyzed Sample,Hemolyzed Sample",3.7,Biochemistry Analyzer,78.89
2-Jan-2025,Neurology,CT Brain,23,30,3000,69000,2,"Clotted Sample,Clotted Sample",4,CT Scanner,73.69
2-Jan-2025,Neurology,EEG,9,45,1500,13500,0,Unknown,3,Hematology Analyzer,78.84
2-Jan-2025,Neurology,Electrolytes,9,60,300,2700,0,Unknown,4.4,Hematology Analyzer,84.99
2-Jan-2025,Neurology,MRI Brain,16,60,5000,80000,0,Unknown,3.6,MRI Machine,75.71
2-Jan-2025,Orthopedics,Calcium,8,60,300,2400,0,Unknown,4.5,Biochemistry Analyzer,79.47
2-Jan-2025,Orthopedics,MRI Spine,12,60,5000,60000,1,Clotted Sample,4.2,MRI Machine,73.82
2-Jan-2025,Orthopedics,Vitamin D,12,240,800,9600,0,Unknown,3.4,Biochemistry Analyzer,81.57
2-Jan-2025,Orthopedics,X-Ray,14,30,400,5600,0,Unknown,3.7,X-Ray Machine,85.75
2-Jan-2025,Pediatrics,CBC,9,60,200,1800,0,Unknown,4,Hematology Analyzer,77.55
2-Jan-2025,Pediatrics,Rapid Infection Panel,9,120,1200,10800,0,Unknown,3.6,Biochemistry Analyzer,74.1
2-Jan-2025,Pediatrics,Stool Test,9,60,200,1800,0,Unknown,4.2,Biochemistry Analyzer,84.32
2-Jan-2025,Pediatrics,Urine Routine,6,90,150,900,0,Unknown,4.3,Biochemistry Analyzer,73.32
2-Jan-2025,Pulmonology,ABG Analysis,9,20,500,4500,0,Unknown,3.2,Hematology Analyzer,77.12
2-Jan-2025,Pulmonology,Chest X-Ray,8,30,400,3200,0,Unknown,3.7,X-Ray Machine,73.76
2-Jan-2025,Pulmonology,Spirometry,5,30,600,3000,0,Unknown,3.3,Spirometer,77.19
2-Jan-2025,Pulmonology,Sputum AFB,11,2880,500,5500,0,Unknown,4.2,Biochemistry Analyzer,75.56
3-Jan-2025,Cardiology,ECG,12,15,300,3600,0,Unknown,4.5,ECG Machine,80.98
3-Jan-2025,Cardiology,Echocardiogram,7,45,2000,14000,0,Unknown,3,ECG Machine,80.18
3-Jan-2025,Cardiology,Lipid Profile,12,180,600,7200,1,Clotted Sample,4.2,Biochemistry Analyzer,75.26
3-Jan-2025,Cardiology,Troponin,7,60,700,4900,0,Unknown,3.6,Hematology Analyzer,75.51
3-Jan-2025,General Medicine,Blood Sugar,7,30,100,700,0,Unknown,3.8,Biochemistry Analyzer,75.78
3-Jan-2025,General Medicine,CBC,9,60,200,1800,0,Unknown,4.5,Biochemistry Analyzer,68.69
3-Jan-2025,General Medicine,LFT,12,120,400,4800,0,Unknown,3,Hematology Analyzer,83.36
3-Jan-2025,General Medicine,Lipid Profile,8,180,600,4800,0,Unknown,4.5,Hematology Analyzer,77.71
3-Jan-2025,General Medicine,Urine Routine,9,90,150,1350,0,Unknown,4,Biochemistry Analyzer,69.99
3-Jan-2025,General Surgery,CBC,12,60,200,2400,1,Expired Reagent,3.6,Hematology Analyzer,72.45
3-Jan-2025,General Surgery,Coagulation Profile,13,150,500,6500,0,Unknown,3.5,Hematology Analyzer,81.39
3-Jan-2025,General Surgery,Crossmatch,15,240,800,12000,0,Unknown,3.8,Hematology Analyzer,75.68
3-Jan-2025,General Surgery,LFT,11,120,400,4400,0,Unknown,4.2,Biochemistry Analyzer,72.46
3-Jan-2025,Gynecology & OBG,CBC,10,60,200,2000,0,Unknown,3.2,Biochemistry Analyzer,79.44
3-Jan-2025,Gynecology & OBG,Hormone Panel,8,180,1500,12000,1,Insufficient Volume,3.7,Biochemistry Analyzer,75.68
3-Jan-2025,Gynecology & OBG,Pregnancy Test,5,20,250,1250,0,Unknown,3,Biochemistry Analyzer,86.32
3-Jan-2025,Gynecology & OBG,Ultrasound,11,45,1200,13200,0,Unknown,3.2,Ultrasound Machine,81.35
3-Jan-2025,Nephrology,Creatinine Clearance,11,1440,500,5500,1,Expired Reagent,4.2,Hematology Analyzer,80.61
3-Jan-2025,Nephrology,Electrolytes,8,60,300,2400,0,Unknown,4,Hematology Analyzer,74.34
3-Jan-2025,Nephrology,Renal Panel,10,120,600,6000,2,"Instrument Failure,Expired Reagent",2.8,Biochemistry Analyzer,81.27
3-Jan-2025,Nephrology,Urine Culture,10,2880,700,7000,1,Instrument Failure,2,Biochemistry Analyzer,86.41
3-Jan-2025,Neurology,CT Brain,13,30,3000,39000,0,Unknown,3.7,CT Scanner,80.92
3-Jan-2025,Neurology,EEG,9,45,1500,13500,0,Unknown,4.2,Hematology Analyzer,78.33
3-Jan-2025,Neurology,Electrolytes,12,60,300,3600,0,Unknown,4.6,Hematology Analyzer,80.47
3-Jan-2025,Neurology,MRI Brain,8,60,5000,40000,0,Unknown,3.5,MRI Machine,65.84
3-Jan-2025,Orthopedics,Calcium,6,60,300,1800,2,"Insufficient Volume,Contaminated Sample",4.5,Biochemistry Analyzer,74.97
3-Jan-2025,Orthopedics,MRI Spine,9,60,5000,45000,0,Unknown,3,MRI Machine,76.79
3-Jan-2025,Orthopedics,Vitamin D,8,240,800,6400,0,Unknown,4.3,Biochemistry Analyzer,78.74
3-Jan-2025,Orthopedics,X-Ray,14,30,400,5600,0,Unknown,4,X-Ray Machine,79.29
3-Jan-2025,Pediatrics,CBC,13,60,200,2600,0,Unknown,3.4,Biochemistry Analyzer,78.24
3-Jan-2025,Pediatrics,Rapid Infection Panel,6,120,1200,7200,0,Unknown,4.4,Biochemistry Analyzer,82.26
3-Jan-2025,Pediatrics,Stool Test,8,60,200,1600,0,Unknown,4.2,Biochemistry Analyzer,77.78
3-Jan-2025,Pediatrics,Urine Routine,15,90,150,2250,0,Unknown,3.2,Biochemistry Analyzer,83.2
3-Jan-2025,Pulmonology,ABG Analysis,13,20,500,6500,0,Unknown,3.6,Biochemistry Analyzer,81.03
3-Jan-2025,Pulmonology,Chest X-Ray,7,30,400,2800,0,Unknown,3.6,X-Ray Machine,70.27
3-Jan-2025,Pulmonology,Spirometry,9,30,600,5400,0,Unknown,3.8,Spirometer,75.58
3-Jan-2025,Pulmonology,Sputum AFB,18,2880,500,9000,0,Unknown,3.8,Hematology Analyzer,81.1
4-Jan-2025,Cardiology,ECG,13,15,300,3900,0,Unknown,2.8,ECG Machine,86.38
4-Jan-2025,Cardiology,Echocardiogram,14,45,2000,28000,2,"Clotted Sample,Instrument Failure",4,ECG Machine,79.23
4-Jan-2025,Cardiology,Lipid Profile,13,180,600,7800,2,"Contaminated Sample,Contaminated Sample",4.5,Biochemistry Analyzer,69.3
4-Jan-2025,Cardiology,Troponin,13,60,700,9100,2,"Contaminated Sample,Insufficient Volume",3,Hematology Analyzer,74.97
4-Jan-2025,General Medicine,Blood Sugar,19,30,100,1900,2,"Insufficient Volume,Clotted Sample",3.8,Biochemistry Analyzer,77.16
4-Jan-2025,General Medicine,CBC,12,60,200,2400,2,"Contaminated Sample,Insufficient Volume",3.1,Biochemistry Analyzer,82.04
4-Jan-2025,General Medicine,LFT,16,120,400,6400,0,Unknown,4.3,Biochemistry Analyzer,74.19
4-Jan-2025,General Medicine,Lipid Profile,7,180,600,4200,1,Clotted Sample,3.8,Hematology Analyzer,77.76
4-Jan-2025,General Medicine,Urine Routine,8,90,150,1200,2,"Contaminated Sample,Hemolyzed Sample",4.2,Hematology Analyzer,82.31
4-Jan-2025,General Surgery,CBC,10,60,200,2000,0,Unknown,4,Hematology Analyzer,78.19
4-Jan-2025,General Surgery,Coagulation Profile,7,150,500,3500,0,Unknown,3.6,Biochemistry Analyzer,73.04
4-Jan-2025,General Surgery,Crossmatch,7,240,800,5600,1,Instrument Failure,3.2,Biochemistry Analyzer,67.86
4-Jan-2025,General Surgery,LFT,13,120,400,5200,0,Unknown,4,Biochemistry Analyzer,72.45
4-Jan-2025,Gynecology & OBG,CBC,12,60,200,2400,2,"Clotted Sample,Insufficient Volume",3.2,Biochemistry Analyzer,81.5
4-Jan-2025,Gynecology & OBG,Hormone Panel,17,180,1500,25500,2,"Contaminated Sample,Instrument Failure",4.2,Hematology Analyzer,75.14
4-Jan-2025,Gynecology & OBG,Pregnancy Test,19,20,250,4750,0,Unknown,4.2,Biochemistry Analyzer,80.06
4-Jan-2025,Gynecology & OBG,Ultrasound,13,45,1200,15600,0,Unknown,4.2,Ultrasound Machine,82.1
4-Jan-2025,Nephrology,Creatinine Clearance,15,1440,500,7500,0,Unknown,3.8,Biochemistry Analyzer,73.34
4-Jan-2025,Nephrology,Electrolytes,8,60,300,2400,0,Unknown,4,Hematology Analyzer,75.28
4-Jan-2025,Nephrology,Renal Panel,7,120,600,4200,1,Insufficient Volume,2.6,Hematology Analyzer,79.67
4-Jan-2025,Nephrology,Urine Culture,13,2880,700,9100,1,Contaminated Sample,3.4,Biochemistry Analyzer,75.72
4-Jan-2025,Neurology,CT Brain,10,30,3000,30000,0,Unknown,5,CT Scanner,75.96
4-Jan-2025,Neurology,EEG,15,45,1500,22500,1,Contaminated Sample,3.6,Hematology Analyzer,72.54
4-Jan-2025,Neurology,Electrolytes,12,60,300,3600,0,Unknown,3.6,Hematology Analyzer,76.02
4-Jan-2025,Neurology,MRI Brain,10,60,5000,50000,0,Unknown,3.6,MRI Machine,80.18
4-Jan-2025,Orthopedics,Calcium,13,60,300,3900,0,Unknown,3.3,Hematology Analyzer,83.33
4-Jan-2025,Orthopedics,MRI Spine,8,60,5000,40000,2,"Contaminated Sample,Expired Reagent",3.6,MRI Machine,75.56
4-Jan-2025,Orthopedics,Vitamin D,10,240,800,8000,1,Clotted Sample,4.2,Biochemistry Analyzer,76
4-Jan-2025,Orthopedics,X-Ray,13,30,400,5200,0,Unknown,4.6,X-Ray Machine,67.96
4-Jan-2025,Pediatrics,CBC,8,60,200,1600,0,Unknown,3.4,Hematology Analyzer,74.31
4-Jan-2025,Pediatrics,Rapid Infection Panel,10,120,1200,12000,1,Expired Reagent,4.2,Hematology Analyzer,72.52
4-Jan-2025,Pediatrics,Stool Test,10,60,200,2000,0,Unknown,4.2,Hematology Analyzer,83
4-Jan-2025,Pediatrics,Urine Routine,11,90,150,1650,0,Unknown,4.5,Biochemistry Analyzer,84.98
4-Jan-2025,Pulmonology,ABG Analysis,19,20,500,9500,0,Unknown,5,Biochemistry Analyzer,77.31
4-Jan-2025,Pulmonology,Chest X-Ray,15,30,400,6000,0,Unknown,3.8,X-Ray Machine,80.85
4-Jan-2025,Pulmonology,Spirometry,7,30,600,4200,0,Unknown,4,Spirometer,71.35
4-Jan-2025,Pulmonology,Sputum AFB,12,2880,500,6000,0,Unknown,3.8,Biochemistry Analyzer,76
5-Jan-2025,Cardiology,ECG,12,15,300,3600,0,Unknown,3.7,ECG Machine,73.81
5-Jan-2025,Cardiology,Echocardiogram,15,45,2000,30000,0,Unknown,4,ECG Machine,68.68
5-Jan-2025,Cardiology,Lipid Profile,8,180,600,4800,0,Unknown,3.8,Hematology Analyzer,69.98
5-Jan-2025,Cardiology,Troponin,8,60,700,5600,1,Hemolyzed Sample,4,Hematology Analyzer,73.21
5-Jan-2025,General Medicine,Blood Sugar,10,30,100,1000,0,Unknown,3.7,Biochemistry Analyzer,76.11
5-Jan-2025,General Medicine,CBC,9,60,200,1800,0,Unknown,3.4,Biochemistry Analyzer,75.05
5-Jan-2025,General Medicine,LFT,11,120,400,4400,0,Unknown,3.7,Biochemistry Analyzer,77.52
5-Jan-2025,General Medicine,Lipid Profile,14,180,600,8400,1,Expired Reagent,4,Biochemistry Analyzer,75.52
5-Jan-2025,General Medicine,Urine Routine,5,90,150,750,0,Unknown,3.7,Biochemistry Analyzer,83.62
5-Jan-2025,General Surgery,CBC,12,60,200,2400,1,Insufficient Volume,4.2,Hematology Analyzer,79.23
5-Jan-2025,General Surgery,Coagulation Profile,15,150,500,7500,0,Unknown,4.2,Hematology Analyzer,73.06
5-Jan-2025,General Surgery,Crossmatch,7,240,800,5600,0,Unknown,4.7,Hematology Analyzer,81.67
5-Jan-2025,General Surgery,LFT,15,120,400,6000,1,Contaminated Sample,3.8,Biochemistry Analyzer,84.12
5-Jan-2025,Gynecology & OBG,CBC,5,60,200,1000,0,Unknown,4,Biochemistry Analyzer,87.4
5-Jan-2025,Gynecology & OBG,Hormone Panel,10,180,1500,15000,0,Unknown,4,Biochemistry Analyzer,71.27
5-Jan-2025,Gynecology & OBG,Pregnancy Test,6,20,250,1500,0,Unknown,3.8,Hematology Analyzer,76.61
5-Jan-2025,Gynecology & OBG,Ultrasound,12,45,1200,14400,0,Unknown,3,Ultrasound Machine,68.56
5-Jan-2025,Nephrology,Creatinine Clearance,10,1440,500,5000,1,Instrument Failure,3.2,Hematology Analyzer,67.49
5-Jan-2025,Nephrology,Electrolytes,7,60,300,2100,0,Unknown,3.8,Biochemistry Analyzer,72.92
5-Jan-2025,Nephrology,Renal Panel,7,120,600,4200,0,Unknown,4,Biochemistry Analyzer,80.71
5-Jan-2025,Nephrology,Urine Culture,10,2880,700,7000,1,Expired Reagent,4.4,Hematology Analyzer,73.63
5-Jan-2025,Neurology,CT Brain,4,30,3000,12000,0,Unknown,4,CT Scanner,89.59
5-Jan-2025,Neurology,EEG,5,45,1500,7500,1,Hemolyzed Sample,3.7,Biochemistry Analyzer,82.48
5-Jan-2025,Neurology,Electrolytes,6,60,300,1800,0,Unknown,4,Hematology Analyzer,72.18
5-Jan-2025,Neurology,MRI Brain,8,60,5000,40000,0,Unknown,4.5,MRI Machine,79.91
5-Jan-2025,Orthopedics,Calcium,9,60,300,2700,0,Unknown,3.8,Hematology Analyzer,85.15
5-Jan-2025,Orthopedics,MRI Spine,6,60,5000,30000,0,Unknown,3.7,MRI Machine,73.12
5-Jan-2025,Orthopedics,Vitamin D,15,240,800,12000,0,Unknown,3.7,Hematology Analyzer,80.5
5-Jan-2025,Orthopedics,X-Ray,9,30,400,3600,0,Unknown,3.6,X-Ray Machine,75.9
5-Jan-2025,Pediatrics,CBC,9,60,200,1800,0,Unknown,4.5,Biochemistry Analyzer,74.38
5-Jan-2025,Pediatrics,Rapid Infection Panel,7,120,1200,8400,1,Insufficient Volume,3.8,Biochemistry Analyzer,74.31
5-Jan-2025,Pediatrics,Stool Test,10,60,200,2000,1,Instrument Failure,4.4,Hematology Analyzer,83.97
5-Jan-2025,Pediatrics,Urine Routine,12,90,150,1800,0,Unknown,3,Hematology Analyzer,81.42
5-Jan-2025,Pulmonology,ABG Analysis,11,20,500,5500,1,Expired Reagent,4,Biochemistry Analyzer,71.47
5-Jan-2025,Pulmonology,Chest X-Ray,10,30,400,4000,1,Insufficient Volume,4,X-Ray Machine,81.68
5-Jan-2025,Pulmonology,Spirometry,9,30,600,5400,1,Clotted Sample,4.2,Spirometer,70.02
5-Jan-2025,Pulmonology,Sputum AFB,9,2880,500,4500,1,Contaminated Sample,3.8,Biochemistry Analyzer,73.34
6-Jan-2025,Cardiology,ECG,13,15,300,3900,1,Instrument Failure,4.2,ECG Machine,81.5
6-Jan-2025,Cardiology,Echocardiogram,15,45,2000,30000,0,Unknown,3,ECG Machine,82.54
6-Jan-2025,Cardiology,Lipid Profile,13,180,600,7800,2,"Insufficient Volume,Clotted Sample",4,Hematology Analyzer,75.99
6-Jan-2025,Cardiology,Troponin,15,60,700,10500,0,Unknown,3.5,Hematology Analyzer,82.22
6-Jan-2025,General Medicine,Blood Sugar,5,30,100,500,0,Unknown,4.7,Biochemistry Analyzer,79.64
6-Jan-2025,General Medicine,CBC,9,60,200,1800,1,Expired Reagent,3.7,Biochemistry Analyzer,83.33
6-Jan-2025,General Medicine,LFT,11,120,400,4400,2,"Contaminated Sample,Contaminated Sample",3.8,Hematology Analyzer,73.6
6-Jan-2025,General Medicine,Lipid Profile,10,180,600,6000,0,Unknown,3.4,Hematology Analyzer,80.95
6-Jan-2025,General Medicine,Urine Routine,12,90,150,1800,2,"Hemolyzed Sample,Insufficient Volume",3.6,Biochemistry Analyzer,73.41
6-Jan-2025,General Surgery,CBC,11,60,200,2200,1,Contaminated Sample,4.2,Hematology Analyzer,89
6-Jan-2025,General Surgery,Coagulation Profile,10,150,500,5000,0,Unknown,3.6,Biochemistry Analyzer,68.38
6-Jan-2025,General Surgery,Crossmatch,10,240,800,8000,1,Clotted Sample,3,Biochemistry Analyzer,80.89
6-Jan-2025,General Surgery,LFT,8,120,400,3200,2,"Hemolyzed Sample,Clotted Sample",4.2,Biochemistry Analyzer,77.01
6-Jan-2025,Gynecology & OBG,CBC,16,60,200,3200,0,Unknown,3.4,Hematology Analyzer,76.5
6-Jan-2025,Gynecology & OBG,Hormone Panel,14,180,1500,21000,0,Unknown,3.8,Biochemistry Analyzer,73.56
6-Jan-2025,Gynecology & OBG,Pregnancy Test,15,20,250,3750,1,Contaminated Sample,3.7,Hematology Analyzer,77.14
6-Jan-2025,Gynecology & OBG,Ultrasound,10,45,1200,12000,0,Unknown,4.2,Ultrasound Machine,76.69
6-Jan-2025,Nephrology,Creatinine Clearance,11,1440,500,5500,0,Unknown,4,Hematology Analyzer,77.66
6-Jan-2025,Nephrology,Electrolytes,11,60,300,3300,0,Unknown,2.8,Biochemistry Analyzer,69.96
6-Jan-2025,Nephrology,Renal Panel,9,120,600,5400,0,Unknown,3.4,Hematology Analyzer,71.02
6-Jan-2025,Nephrology,Urine Culture,11,2880,700,7700,0,Unknown,3.8,Biochemistry Analyzer,69.78
6-Jan-2025,Neurology,CT Brain,7,30,3000,21000,0,Unknown,3.8,CT Scanner,76.21
6-Jan-2025,Neurology,EEG,10,45,1500,15000,1,Expired Reagent,3.7,Hematology Analyzer,85.37
6-Jan-2025,Neurology,Electrolytes,13,60,300,3900,0,Unknown,3.8,Hematology Analyzer,77.27
6-Jan-2025,Neurology,MRI Brain,15,60,5000,75000,0,Unknown,3.8,MRI Machine,83.37
6-Jan-2025,Orthopedics,Calcium,11,60,300,3300,2,"Hemolyzed Sample,Clotted Sample",4.2,Hematology Analyzer,86.29
6-Jan-2025,Orthopedics,MRI Spine,6,60,5000,30000,0,Unknown,3,MRI Machine,74.16
6-Jan-2025,Orthopedics,Vitamin D,17,240,800,13600,2,"Clotted Sample,Insufficient Volume",3,Hematology Analyzer,75.97
6-Jan-2025,Orthopedics,X-Ray,5,30,400,2000,0,Unknown,4.2,X-Ray Machine,74.64
6-Jan-2025,Pediatrics,CBC,9,60,200,1800,0,Unknown,4.6,Hematology Analyzer,77.54
6-Jan-2025,Pediatrics,Rapid Infection Panel,15,120,1200,18000,1,Expired Reagent,4.3,Biochemistry Analyzer,78.79
6-Jan-2025,Pediatrics,Stool Test,13,60,200,2600,0,Unknown,3.4,Biochemistry Analyzer,79.29
6-Jan-2025,Pediatrics,Urine Routine,9,90,150,1350,0,Unknown,3.2,Biochemistry Analyzer,82.84
6-Jan-2025,Pulmonology,ABG Analysis,9,20,500,4500,0,Unknown,4,Biochemistry Analyzer,75.67
6-Jan-2025,Pulmonology,Chest X-Ray,6,30,400,2400,0,Unknown,2.8,X-Ray Machine,76
6-Jan-2025,Pulmonology,Spirometry,9,30,600,5400,0,Unknown,3.8,Spirometer,73.44
6-Jan-2025,Pulmonology,Sputum AFB,7,2880,500,3500,0,Unknown,3.8,Biochemistry Analyzer,73.64
7-Jan-2025,Cardiology,ECG,14,15,300,4200,0,Unknown,4,ECG Machine,77.07
7-Jan-2025,Cardiology,Echocardiogram,9,45,2000,18000,1,Clotted Sample,4,ECG Machine,82.63
7-Jan-2025,Cardiology,Lipid Profile,14,180,600,8400,0,Unknown,4.2,Biochemistry Analyzer,65.87
7-Jan-2025,Cardiology,Troponin,14,60,700,9800,0,Unknown,3.5,Biochemistry Analyzer,78.12
7-Jan-2025,General Medicine,Blood Sugar,10,30,100,1000,0,Unknown,4,Hematology Analyzer,76.94
7-Jan-2025,General Medicine,CBC,14,60,200,2800,0,Unknown,3.7,Hematology Analyzer,76.24
7-Jan-2025,General Medicine,LFT,9,120,400,3600,0,Unknown,3.8,Biochemistry Analyzer,74.33
7-Jan-2025,General Medicine,Lipid Profile,12,180,600,7200,0,Unknown,3.3,Hematology Analyzer,75.82
7-Jan-2025,General Medicine,Urine Routine,6,90,150,900,0,Unknown,4.5,Biochemistry Analyzer,63.87
7-Jan-2025,General Surgery,CBC,8,60,200,1600,0,Unknown,4.3,Hematology Analyzer,73.42
7-Jan-2025,General Surgery,Coagulation Profile,13,150,500,6500,0,Unknown,3.6,Hematology Analyzer,86.67
7-Jan-2025,General Surgery,Crossmatch,8,240,800,6400,1,Instrument Failure,4,Biochemistry Analyzer,84.01
7-Jan-2025,General Surgery,LFT,13,120,400,5200,0,Unknown,5,Hematology Analyzer,65.79
7-Jan-2025,Gynecology & OBG,CBC,12,60,200,2400,1,Clotted Sample,3.8,Biochemistry Analyzer,85.22
7-Jan-2025,Gynecology & OBG,Hormone Panel,9,180,1500,13500,0,Unknown,4.6,Hematology Analyzer,71.43
