date,department,new_inpatient_admissions,new_outpatients,new_icu_admissions,post_op_complications,complications_rate,avg_length_of_stay,patients_per_doctor,consultations_per_shift,patient_satisfaction_score,bed_occupancy,diagnosis_name,diagnosis_inpatient_volume,diagnosis_outpatient_volume,diagnosis_cost,readmissions,readmission_rate,nurse_to_patient_ratio,ot_slots_available,ot_slots_used,ot_utilization_rate,ed_visit_volume,ed_wait_time
1-Jan-2025,Orthopedics,19,0,3,3,15.79,5.3,13,5,4.68,79,Spinal Disorder,19,0,309510,0,0,0.29,7,1,14.29,5,40
1-Jan-2025,Cardiology,5,0,0,0,0,6.1,14,8,4.6,92,Myocardial Infarction,5,0,96285,1,20,0.31,0,0,0,50,92
1-Jan-2025,Cardiology,10,0,1,0,0,6.9,14,9,4.11,77,Heart Failure,10,0,161970,0,0,0.18,0,0,0,25,108
1-Jan-2025,Cardiology,6,8,0,0,0,4.7,21,12,4.72,70,Arrhythmia,6,8,134858,0,0,0.23,0,0,0,39,86
1-Jan-2025,Cardiology,0,14,0,0,0,1.3,18,12,3.71,76,Hypertension,0,14,35000,0,0,0.29,0,0,0,65,92
1-Jan-2025,Cardiology,0,15,0,0,0,1,17,11,4.03,74,Stable Angina,0,15,37500,0,0,0.22,0,0,0,43,50
1-Jan-2025,Cardiology,0,37,0,0,0,1.2,17,11,4.26,88,Dyslipidemia,0,37,92500,0,0,0.24,0,0,0,85,120
1-Jan-2025,Pulmonology,16,0,0,2,12.5,5.5,26,11,3.76,71,COPD,16,0,138672,0,0,0.31,0,0,0,58,72
1-Jan-2025,Pulmonology,17,0,3,2,11.76,6.8,15,4,3.74,76,Pneumonia,17,0,179384,0,0,0.33,0,0,0,31,115
1-Jan-2025,Pulmonology,10,8,1,1,10,4.1,20,8,4.75,72,Asthma,10,8,104850,0,0,0.22,0,0,0,76,119
1-Jan-2025,Pulmonology,0,17,0,0,0,0.7,20,8,3.64,68,Bronchitis,0,17,28900,0,0,0.18,0,0,0,74,116
1-Jan-2025,Pulmonology,20,0,3,2,10,3.7,26,11,3.63,91,Tuberculosis,20,0,211700,2,10,0.17,0,0,0,77,34
1-Jan-2025,Pulmonology,0,37,0,0,0,0.8,26,11,4.1,74,Allergic Rhinitis,0,37,62900,0,0,0.23,0,0,0,76,40
2-Jan-2025,General Medicine,19,0,2,3,15.79,5.3,22,7,3.86,69,Sepsis,19,0,141702,1,5.26,0.23,0,0,0,80,94
2-Jan-2025,General Medicine,4,0,0,0,0,4.1,15,8,4.69,77,Hypertension Crisis,4,0,26384,1,25,0.25,0,0,0,35,77
2-Jan-2025,General Medicine,19,0,1,2,10.53,5.4,23,9,4.33,85,Pneumonia,19,0,103360,0,0,0.22,0,0,0,70,115
2-Jan-2025,General Medicine,0,40,0,0,0,1.1,19,11,4.84,70,Diabetes,0,40,60000,0,0,0.27,0,0,0,39,56
2-Jan-2025,General Medicine,0,32,0,0,0,1.9,26,10,4.02,67,Hypertension,0,32,48000,0,0,0.2,0,0,0,88,65
2-Jan-2025,General Medicine,12,19,1,1,8.33,8,17,5,4.23,86,Fever,12,19,112608,0,0,0.31,0,0,0,84,16
2-Jan-2025,General Medicine,0,24,0,0,0,1.3,15,5,4.04,76,Anemia,0,24,36000,0,0,0.32,0,0,0,74,53
2-Jan-2025,General Surgery,3,0,0,0,0,7.4,15,5,4.35,84,Appendicitis,3,0,31944,0,0,0.21,13,13,100,19,33
2-Jan-2025,General Surgery,18,0,1,3,16.67,4.9,15,10,3.9,70,Gallstones,18,0,226548,2,11.11,0.24,5,5,100,7,53
2-Jan-2025,General Surgery,17,0,2,2,11.76,5.2,20,4,4.19,93,Hernia,17,0,217787,2,11.76,0.24,7,5,71.43,5,27
2-Jan-2025,General Surgery,0,13,0,0,0,0.9,15,5,4.34,94,Wound Care,0,13,26000,0,0,0.22,8,6,75,16,15
2-Jan-2025,General Surgery,0,49,0,0,0,1.6,18,7,4.69,79,Surgical Consult,0,49,98000,0,0,0.31,15,5,33.33,24,9
2-Jan-2025,General Surgery,14,0,1,2,14.29,5.2,23,10,3.7,79,Post-op Infection,14,0,153146,1,7.14,0.23,11,0,0,10,21
2-Jan-2025,Nephrology,3,0,0,1,33.33,6,22,6,3.78,89,CKD,3,0,25677,1,33.33,0.21,0,0,0,22,27
2-Jan-2025,Nephrology,10,0,1,0,0,4.3,19,11,3.82,68,AKI,10,0,95130,1,10,0.19,0,0,0,23,59
2-Jan-2025,Nephrology,0,32,0,0,0,1,16,10,4.57,74,Hemodialysis,0,32,57600,0,0,0.3,0,0,0,21,60
2-Jan-2025,Nephrology,7,18,1,1,14.29,7.6,20,11,3.98,71,UTI,7,18,114251,1,14.29,0.22,0,0,0,20,32
2-Jan-2025,Nephrology,4,0,0,1,25,5.9,26,6,3.72,73,Renal Calculi,4,0,43564,1,25,0.32,0,0,0,10,48
2-Jan-2025,Nephrology,0,18,0,0,0,0.6,12,6,3.55,75,Follow-up Nephropathy,0,18,32400,0,0,0.24,0,0,0,18,12
2-Jan-2025,Neurology,9,0,0,1,11.11,4.1,28,12,4.1,85,Stroke,9,0,110520,0,0,0.32,0,0,0,22,49
2-Jan-2025,Neurology,8,16,0,0,0,3.7,18,7,4.89,84,Epilepsy,8,16,110168,0,0,0.29,0,0,0,10,44
2-Jan-2025,Neurology,0,37,0,0,0,1.2,14,4,4.68,81,Migraine,0,37,81400,0,0,0.27,0,0,0,22,51
2-Jan-2025,Neurology,0,20,0,0,0,1.8,14,5,4.54,76,Neuropathy,0,20,44000,0,0,0.32,0,0,0,14,25
2-Jan-2025,Neurology,13,0,0,0,0,5.6,12,12,4.52,82,Meningitis,13,0,126672,0,0,0.22,0,0,0,9,35
2-Jan-2025,Neurology,0,18,0,0,0,1.4,26,10,3.62,83,Parkinsonism,0,18,39600,0,0,0.17,0,0,0,15,14
2-Jan-2025,Gynecology & OBG,11,0,0,1,9.09,6.1,21,12,4.05,66,Normal Delivery,11,0,77770,0,0,0.26,13,8,61.54,20,56
2-Jan-2025,Gynecology & OBG,15,0,1,2,13.33,4.1,24,6,4.72,70,C-Section,15,0,133815,0,0,0.28,12,8,66.67,17,13
2-Jan-2025,Gynecology & OBG,0,48,0,0,0,0.9,26,7,4.82,80,PCOS,0,48,96000,0,0,0.22,11,1,9.09,11,37
2-Jan-2025,Gynecology & OBG,0,31,0,0,0,1.6,14,10,4.26,81,Antenatal Checkup,0,31,62000,0,0,0.2,13,6,46.15,23,22
2-Jan-2025,Gynecology & OBG,9,0,1,0,0,7.1,19,7,4.01,80,Fibroid Uterus,9,0,97758,1,11.11,0.16,8,4,50,24,26
2-Jan-2025,Gynecology & OBG,0,43,0,0,0,1.5,17,10,4.5,90,Menstrual Disorder,0,43,86000,0,0,0.22,8,4,50,9,16
2-Jan-2025,Pediatrics,11,23,1,1,9.09,3.5,12,11,3.87,72,Asthma,11,23,117507,0,0,0.28,0,0,0,49,22
2-Jan-2025,Pediatrics,0,14,0,0,0,1.2,28,6,4.27,81,Fever,0,14,22400,0,0,0.29,0,0,0,60,94
2-Jan-2025,Pediatrics,4,16,0,1,25,6.1,24,5,3.83,91,Diarrhea,4,16,56644,1,25,0.22,0,0,0,86,90
2-Jan-2025,Pediatrics,11,0,0,1,9.09,4,25,9,4.17,71,Pneumonia,11,0,94314,0,0,0.22,0,0,0,29,78
2-Jan-2025,Pediatrics,18,0,2,1,5.56,4.8,23,6,4.52,88,Malnutrition,18,0,136566,0,0,0.25,0,0,0,84,16
2-Jan-2025,Pediatrics,0,46,0,0,0,1.2,16,6,3.75,80,Anemia,0,46,73600,0,0,0.26,0,0,0,61,34
2-Jan-2025,Orthopedics,6,0,0,0,0,7,16,4,3.95,80,Fracture,6,0,74958,0,0,0.17,14,14,100,19,57
2-Jan-2025,Orthopedics,0,46,0,0,0,1.7,19,9,3.72,71,Osteoarthritis,0,46,96600,0,0,0.29,15,15,100,23,60
2-Jan-2025,Orthopedics,0,14,0,0,0,1.1,16,8,4.82,77,Back Pain,0,14,29400,0,0,0.26,6,6,100,20,50
2-Jan-2025,Orthopedics,12,0,1,2,16.67,6.6,28,6,4.59,82,Joint Replacement,12,0,177108,1,8.33,0.18,8,6,75,20,49
2-Jan-2025,Orthopedics,2,17,0,0,0,5.6,15,11,3.77,73,Sports Injury,2,17,62060,1,50,0.17,7,1,14.29,15,48
2-Jan-2025,Orthopedics,14,0,1,0,0,4,27,8,4.45,83,Spinal Disorder,14,0,246470,1,7.14,0.16,7,6,85.71,15,36
2-Jan-2025,Cardiology,8,0,0,0,0,4.9,24,8,3.86,83,Myocardial Infarction,8,0,126856,0,0,0.3,0,0,0,65,106
2-Jan-2025,Cardiology,13,0,2,0,0,7.8,20,5,4.66,88,Heart Failure,13,0,279370,1,7.69,0.21,0,0,0,45,104
2-Jan-2025,Cardiology,9,18,1,1,11.11,4.2,27,5,4.81,95,Arrhythmia,9,18,201366,0,0,0.21,0,0,0,43,37
2-Jan-2025,Cardiology,0,46,0,0,0,0.8,24,4,4.34,78,Hypertension,0,46,115000,0,0,0.17,0,0,0,42,19
2-Jan-2025,Cardiology,0,33,0,0,0,1.1,16,8,3.83,69,Stable Angina,0,33,82500,0,0,0.16,0,0,0,29,10
2-Jan-2025,Cardiology,0,29,0,0,0,1.5,12,10,3.51,86,Dyslipidemia,0,29,72500,0,0,0.32,0,0,0,25,81
2-Jan-2025,Pulmonology,3,0,0,0,0,4.8,16,10,4.13,94,COPD,3,0,32475,0,0,0.23,0,0,0,53,104
2-Jan-2025,Pulmonology,10,0,0,1,10,3.2,27,5,4.37,69,Pneumonia,10,0,77680,1,10,0.3,0,0,0,44,115
2-Jan-2025,Pulmonology,12,12,1,0,0,5.9,28,10,3.85,85,Asthma,12,12,112056,1,8.33,0.26,0,0,0,64,99
2-Jan-2025,Pulmonology,0,43,0,0,0,0.8,21,9,4.04,86,Bronchitis,0,43,73100,0,0,0.3,0,0,0,82,105
2-Jan-2025,Pulmonology,6,0,0,0,0,5.4,26,5,4.24,88,Tuberculosis,6,0,52080,1,16.67,0.17,0,0,0,27,84
2-Jan-2025,Pulmonology,0,29,0,0,0,0.6,22,4,4.55,87,Allergic Rhinitis,0,29,49300,0,0,0.17,0,0,0,50,61
3-Jan-2025,General Medicine,4,0,0,0,0,3.2,28,6,4.06,80,Sepsis,4,0,28152,0,0,0.31,0,0,0,57,45
3-Jan-2025,General Medicine,4,0,0,1,25,4.6,16,7,4.67,73,Hypertension Crisis,4,0,23760,1,25,0.16,0,0,0,68,86
3-Jan-2025,General Medicine,12,0,2,2,16.67,3,21,5,4.78,93,Pneumonia,12,0,76896,1,8.33,0.3,0,0,0,74,76
3-Jan-2025,General Medicine,0,50,0,0,0,1.7,27,11,3.57,69,Diabetes,0,50,75000,0,0,0.17,0,0,0,90,59
3-Jan-2025,General Medicine,0,14,0,0,0,1.9,16,4,4.23,70,Hypertension,0,14,21000,0,0,0.29,0,0,0,71,78
3-Jan-2025,General Medicine,11,20,0,0,0,4.6,17,12,4.72,78,Fever,11,20,99113,0,0,0.17,0,0,0,61,103
3-Jan-2025,General Medicine,0,33,0,0,0,2,16,5,4.81,85,Anemia,0,33,49500,0,0,0.31,0,0,0,83,22
3-Jan-2025,General Surgery,12,0,0,1,8.33,5.5,19,10,4.35,66,Appendicitis,12,0,173772,0,0,0.27,15,0,0,20,6
3-Jan-2025,General Surgery,8,0,0,0,0,7.2,15,4,3.78,77,Gallstones,8,0,90304,1,12.5,0.24,14,1,7.14,7,43
3-Jan-2025,General Surgery,16,0,2,1,6.25,4.3,28,11,4.65,69,Hernia,16,0,230048,0,0,0.32,13,1,7.69,15,44
3-Jan-2025,General Surgery,0,27,0,0,0,2,13,12,4.75,67,Wound Care,0,27,54000,0,0,0.16,6,5,83.33,21,13
3-Jan-2025,General Surgery,0,20,0,0,0,1.5,27,8,3.98,86,Surgical Consult,0,20,40000,0,0,0.29,10,4,40,19,13
3-Jan-2025,General Surgery,9,0,1,1,11.11,6.6,17,5,4.84,93,Post-op Infection,9,0,109800,1,11.11,0.25,6,1,16.67,21,32
3-Jan-2025,Nephrology,16,0,2,1,6.25,3.3,21,7,3.85,80,CKD,16,0,155472,2,12.5,0.3,0,0,0,12,48
3-Jan-2025,Nephrology,4,0,0,0,0,5.1,25,9,4.71,88,AKI,4,0,38904,1,25,0.21,0,0,0,24,51
3-Jan-2025,Nephrology,0,26,0,0,0,1.4,28,12,4.18,80,Hemodialysis,0,26,46800,0,0,0.21,0,0,0,9,58
3-Jan-2025,Nephrology,4,19,0,1,25,4.6,21,5,3.89,69,UTI,4,19,72200,0,0,0.26,0,0,0,25,23
3-Jan-2025,Nephrology,12,0,1,0,0,6.4,26,12,4.78,93,Renal Calculi,12,0,136044,1,8.33,0.33,0,0,0,25,16
3-Jan-2025,Nephrology,0,30,0,0,0,0.9,18,4,3.87,73,Follow-up Nephropathy,0,30,54000,0,0,0.21,0,0,0,21,9
3-Jan-2025,Neurology,9,0,1,1,11.11,5.3,18,4,4.76,68,Stroke,9,0,107388,0,0,0.24,0,0,0,12,39
3-Jan-2025,Neurology,8,5,0,0,0,7.7,28,10,4.31,89,Epilepsy,8,5,111320,0,0,0.23,0,0,0,21,24
3-Jan-2025,Neurology,0,19,0,0,0,0.8,12,11,3.94,80,Migraine,0,19,41800,0,0,0.28,0,0,0,10,26
3-Jan-2025,Neurology,0,20,0,0,0,0.8,26,6,3.8,85,Neuropathy,0,20,44000,0,0,0.3,0,0,0,12,22
3-Jan-2025,Neurology,14,0,2,0,0,4.2,26,7,4.65,87,Meningitis,14,0,187782,1,7.14,0.17,0,0,0,16,45
3-Jan-2025,Neurology,0,18,0,0,0,0.5,26,7,4.66,66,Parkinsonism,0,18,39600,0,0,0.29,0,0,0,13,14
3-Jan-2025,Gynecology & OBG,5,0,0,1,20,4.8,18,5,4.07,71,Normal Delivery,5,0,49675,1,20,0.25,15,12,80,19,36
3-Jan-2025,Gynecology & OBG,20,0,3,3,15,6.5,28,8,4.72,86,C-Section,20,0,162280,0,0,0.22,14,6,42.86,6,47
3-Jan-2025,Gynecology & OBG,0,16,0,0,0,1.8,17,10,3.89,94,PCOS,0,16,32000,0,0,0.27,7,1,14.29,20,36
3-Jan-2025,Gynecology & OBG,0,36,0,0,0,1.4,20,9,4.1,81,Antenatal Checkup,0,36,72000,0,0,0.27,12,9,75,15,34
3-Jan-2025,Gynecology & OBG,8,0,0,1,12.5,4.6,20,10,3.7,95,Fibroid Uterus,8,0,64952,0,0,0.25,14,4,28.57,18,40
3-Jan-2025,Gynecology & OBG,0,37,0,0,0,0.7,24,6,4.46,82,Menstrual Disorder,0,37,74000,0,0,0.21,15,10,66.67,10,20
3-Jan-2025,Pediatrics,11,16,1,0,0,4.6,25,4,3.62,72,Asthma,11,16,92502,0,0,0.3,0,0,0,68,27
3-Jan-2025,Pediatrics,0,21,0,0,0,1.3,28,11,4.66,77,Fever,0,21,33600,0,0,0.18,0,0,0,81,85
3-Jan-2025,Pediatrics,6,23,0,0,0,3,26,4,4.2,82,Diarrhea,6,23,88748,1,16.67,0.22,0,0,0,80,92
3-Jan-2025,Pediatrics,9,0,0,0,0,3.9,24,10,4.05,83,Pneumonia,9,0,55899,0,0,0.2,0,0,0,47,32
3-Jan-2025,Pediatrics,6,0,1,1,16.67,7.5,22,6,4.58,83,Malnutrition,6,0,45942,0,0,0.31,0,0,0,61,15
3-Jan-2025,Pediatrics,0,25,0,0,0,0.6,22,4,4.07,82,Anemia,0,25,40000,0,0,0.29,0,0,0,81,65
3-Jan-2025,Orthopedics,18,0,0,2,11.11,3.3,18,11,4.11,89,Fracture,18,0,297720,1,5.56,0.27,14,10,71.43,22,34
3-Jan-2025,Orthopedics,0,49,0,0,0,0.5,14,9,4.76,67,Osteoarthritis,0,49,102900,0,0,0.19,12,4,33.33,18,30
3-Jan-2025,Orthopedics,0,25,0,0,0,0.7,26,6,3.88,65,Back Pain,0,25,52500,0,0,0.3,13,3,23.08,18,43
3-Jan-2025,Orthopedics,5,0,0,0,0,3,21,11,3.96,84,Joint Replacement,5,0,85155,0,0,0.25,9,6,66.67,25,47
3-Jan-2025,Orthopedics,8,22,1,1,12.5,5.1,26,9,3.71,70,Sports Injury,8,22,151032,0,0,0.22,14,2,14.29,23,44
3-Jan-2025,Orthopedics,6,0,1,0,0,3.5,13,11,4.83,82,Spinal Disorder,6,0,99366,1,16.67,0.32,6,0,0,8,34
3-Jan-2025,Cardiology,10,0,0,0,0,5.1,24,9,4.75,74,Myocardial Infarction,10,0,176900,1,10,0.2,0,0,0,31,115
3-Jan-2025,Cardiology,4,0,0,0,0,7.9,22,10,4.08,90,Heart Failure,4,0,61912,1,25,0.17,0,0,0,80,29
3-Jan-2025,Cardiology,2,7,0,1,50,3.4,23,11,4.2,86,Arrhythmia,2,7,49590,1,50,0.24,0,0,0,83,87
3-Jan-2025,Cardiology,0,17,0,0,0,0.7,16,7,4.13,88,Hypertension,0,17,42500,0,0,0.25,0,0,0,45,50
3-Jan-2025,Cardiology,0,28,0,0,0,1.4,28,8,4.04,78,Stable Angina,0,28,70000,0,0,0.18,0,0,0,35,109
3-Jan-2025,Cardiology,0,27,0,0,0,1.8,24,6,3.73,89,Dyslipidemia,0,27,67500,0,0,0.17,0,0,0,37,111
3-Jan-2025,Pulmonology,18,0,2,2,11.11,3.3,24,9,3.97,87,COPD,18,0,132264,1,5.56,0.28,0,0,0,49,80
3-Jan-2025,Pulmonology,16,0,1,2,12.5,3.1,19,11,3.53,94,Pneumonia,16,0,149088,0,0,0.23,0,0,0,71,89
3-Jan-2025,Pulmonology,7,7,0,1,14.29,4.9,15,8,4.56,90,Asthma,7,7,79681,1,14.29,0.25,0,0,0,81,20
3-Jan-2025,Pulmonology,0,49,0,0,0,1.3,27,8,3.52,86,Bronchitis,0,49,83300,0,0,0.26,0,0,0,36,31
3-Jan-2025,Pulmonology,16,0,2,2,12.5,5,19,9,4.21,74,Tuberculosis,16,0,124016,2,12.5,0.19,0,0,0,76,108
3-Jan-2025,Pulmonology,0,23,0,0,0,0.6,19,11,3.63,93,Allergic Rhinitis,0,23,39100,0,0,0.23,0,0,0,53,103
4-Jan-2025,General Medicine,14,0,1,0,0,6.2,12,11,4.59,67,Sepsis,14,0,111972,2,14.29,0.24,0,0,0,48,25
4-Jan-2025,General Medicine,12,0,2,1,8.33,3.9,16,7,4.54,76,Hypertension Crisis,12,0,60084,0,0,0.2,0,0,0,44,98
4-Jan-2025,General Medicine,14,0,2,1,7.14,5.2,26,10,3.88,93,Pneumonia,14,0,70868,2,14.29,0.28,0,0,0,29,43
4-Jan-2025,General Medicine,0,17,0,0,0,0.9,13,11,4,90,Diabetes,0,17,25500,0,0,0.19,0,0,0,67,28
4-Jan-2025,General Medicine,0,23,0,0,0,1.7,15,8,3.77,71,Hypertension,0,23,34500,0,0,0.28,0,0,0,71,96
4-Jan-2025,General Medicine,4,14,0,1,25,7.7,16,5,4.54,76,Fever,4,14,43856,0,0,0.3,0,0,0,31,74
4-Jan-2025,General Medicine,0,46,0,0,0,1.9,20,4,3.61,81,Anemia,0,46,69000,0,0,0.27,0,0,0,32,58
4-Jan-2025,General Surgery,14,0,0,0,0,5.4,16,7,4.13,90,Appendicitis,14,0,147532,2,14.29,0.25,7,3,42.86,24,45
4-Jan-2025,General Surgery,3,0,0,0,0,5.1,13,9,4.41,73,Gallstones,3,0,36021,1,33.33,0.26,13,0,0,14,19
4-Jan-2025,General Surgery,17,0,3,0,0,4.8,19,11,4.77,68,Hernia,17,0,238238,1,5.88,0.17,5,1,20,5,56
4-Jan-2025,General Surgery,0,44,0,0,0,1.7,15,6,3.97,66,Wound Care,0,44,88000,0,0,0.23,13,1,7.69,18,7
4-Jan-2025,General Surgery,0,43,0,0,0,1.4,23,6,4.29,78,Surgical Consult,0,43,86000,0,0,0.31,5,5,100,9,58
4-Jan-2025,General Surgery,11,0,0,0,0,5.8,24,4,4.23,70,Post-op Infection,11,0,124872,1,9.09,0.22,12,1,8.33,14,30
4-Jan-2025,Nephrology,13,0,1,0,0,5,22,10,4.39,95,CKD,13,0,106314,1,7.69,0.17,0,0,0,21,38
4-Jan-2025,Nephrology,9,0,0,0,0,5.3,21,10,4.85,86,AKI,9,0,85626,0,0,0.32,0,0,0,21,32
4-Jan-2025,Nephrology,0,39,0,0,0,1.2,19,9,4.07,77,Hemodialysis,0,39,70200,0,0,0.21,0,0,0,5,38
4-Jan-2025,Nephrology,4,18,0,1,25,5.7,21,12,4.29,82,UTI,4,18,64916,1,25,0.27,0,0,0,15,45
4-Jan-2025,Nephrology,7,0,0,1,14.29,3.8,20,11,4.74,69,Renal Calculi,7,0,76580,0,0,0.18,0,0,0,18,50
4-Jan-2025,Nephrology,0,20,0,0,0,0.8,27,11,3.54,93,Follow-up Nephropathy,0,20,36000,0,0,0.24,0,0,0,10,6
4-Jan-2025,Neurology,20,0,1,2,10,3.1,21,11,4.43,79,Stroke,20,0,252280,3,15,0.3,0,0,0,19,51
4-Jan-2025,Neurology,6,20,0,1,16.67,3.8,16,12,4.78,65,Epilepsy,6,20,110642,1,16.67,0.18,0,0,0,16,18
4-Jan-2025,Neurology,0,47,0,0,0,2,22,9,3.97,77,Migraine,0,47,103400,0,0,0.24,0,0,0,12,21
