date,employee_id,department,role,staff_category,gender,age,tenure_years,shift_type,overtime_hours,absent_flag,training_hours,employee_satisfaction,avg_pay
1-Jan-2025,GS-DOC-004,General Surgery,Doctor,FTE,Female,52,3.9,Day,2.7,0,0,10,90657
1-Jan-2025,GS-NUR-001,General Surgery,Nurse,FTE,Male,35,2.5,Night,2.6,0,0,8.6,44912
1-Jan-2025,GS-NUR-002,General Surgery,Nurse,Agency,Male,59,31,Day,2.8,1,0,8.2,117684
1-Jan-2025,GS-NUR-003,General Surgery,Nurse,Contract,Male,58,7.2,Night,1.2,0,0,7.6,57873
1-Jan-2025,GS-NUR-004,General Surgery,Nurse,FTE,Male,53,22.7,Night,1.8,0,0,9.5,62756
1-Jan-2025,GS-NUR-005,General Surgery,Nurse,Agency,Female,29,1.2,Night,0.6,0,0,7.9,47657
1-Jan-2025,GS-NUR-006,General Surgery,Nurse,Contract,Female,47,15.6,Rotational,3.2,0,0,8.8,95143
1-Jan-2025,GS-NUR-007,General Surgery,Nurse,FTE,Male,30,4.7,Day,1,0,0,7.7,52382
1-Jan-2025,GS-NUR-008,General Surgery,Nurse,FTE,Female,60,17.9,Day,3.9,0,0,7.7,66172
1-Jan-2025,GS-TEC-001,General Surgery,Technician,Agency,Male,55,27.5,Night,0.4,0,0,10,98530
1-Jan-2025,GS-TEC-002,General Surgery,Technician,Agency,Male,39,3.7,Day,2.7,0,0,5.7,62244
1-Jan-2025,GS-TEC-003,General Surgery,Technician,FTE,Male,60,33.2,Rotational,3.6,0,0,6.3,90067
1-Jan-2025,GS-TEC-004,General Surgery,Technician,Contract,Male,46,18.5,Day,0.6,0,0,6.2,69981
1-Jan-2025,GS-ADM-001,General Surgery,Admin,FTE,Female,32,2.4,Day,0.5,0,0,8.6,33878
1-Jan-2025,GS-ADM-002,General Surgery,Admin,Contract,Female,51,6.6,Rotational,3.2,0,0,8.5,47878
1-Jan-2025,GS-ADM-003,General Surgery,Admin,FTE,Female,51,26.2,Night,1.4,0,0,8.8,52516
1-Jan-2025,NEU-DOC-001,Nephrology,Doctor,FTE,Male,48,6.2,Night,0.6,0,0,6.7,94912
1-Jan-2025,NEU-DOC-002,Nephrology,Doctor,Agency,Female,35,5.4,Night,2.1,0,0.1,8.4,113686
1-Jan-2025,NEU-DOC-003,Nephrology,Doctor,FTE,Female,50,6.8,Day,0.6,0,0,9.2,95735
1-Jan-2025,NEU-NUR-001,Nephrology,Nurse,FTE,Male,47,21,Rotational,2.6,0,0,6.5,86870
1-Jan-2025,NEU-NUR-002,Nephrology,Nurse,FTE,Male,51,3.3,Day,3,0,0.6,10,43838
1-Jan-2025,NEU-NUR-003,Nephrology,Nurse,Contract,Female,35,12.5,Rotational,3.1,0,0,9,68942
1-Jan-2025,NEU-NUR-004,Nephrology,Nurse,Contract,Male,28,3.2,Rotational,0.7,0,0,5.6,74548
1-Jan-2025,NEU-NUR-005,Nephrology,Nurse,Contract,Female,25,2.5,Night,0.4,0,0,9.6,48809
1-Jan-2025,NEU-NUR-006,Nephrology,Nurse,Agency,Male,41,13.7,Night,2.2,0,1,5.9,85798
1-Jan-2025,NEU-NUR-007,Nephrology,Nurse,Contract,Male,35,5.8,Rotational,2.1,0,0,9,50783
1-Jan-2025,NEU-TEC-001,Nephrology,Technician,Agency,Female,41,7.7,Rotational,1.7,0,0,8.9,61163
1-Jan-2025,NEU-TEC-002,Nephrology,Technician,Agency,Female,53,25.8,Rotational,3.8,0,0,6.7,66460
1-Jan-2025,NEU-TEC-003,Nephrology,Technician,Contract,Male,27,1.3,Day,2.1,0,0,6.6,38155
1-Jan-2025,NEU-TEC-004,Nephrology,Technician,Agency,Male,55,1.1,Night,1.4,0,0,7.8,54655
1-Jan-2025,NEU-TEC-005,Nephrology,Technician,Agency,Male,52,25.7,Night,0.6,0,0,9,69396
1-Jan-2025,NEU-TEC-006,Nephrology,Technician,Contract,Male,54,21.7,Rotational,3.6,0,0,7.2,67443
1-Jan-2025,NEU-ADM-001,Nephrology,Admin,Contract,Female,53,7.2,Rotational,0.8,0,0,8.1,57907
1-Jan-2025,NEU-ADM-002,Nephrology,Admin,FTE,Female,60,3.2,Rotational,1,0,0,5,50139
1-Jan-2025,NRL-DOC-001,Neurology,Doctor,Agency,Male,42,13.5,Night,1,0,0,7.2,140807
1-Jan-2025,NRL-DOC-002,Neurology,Doctor,Contract,Male,42,18.6,Night,1.9,0,0,8.8,140801
1-Jan-2025,NRL-DOC-003,Neurology,Doctor,Contract,Male,48,23.9,Night,0.5,0,0,5.7,166212
1-Jan-2025,NRL-DOC-004,Neurology,Doctor,Contract,Female,47,15.2,Day,0.3,0,0,10,163512
1-Jan-2025,NRL-NUR-001,Neurology,Nurse,Agency,Female,59,7.2,Rotational,2.3,0,0,7.7,50142
1-Jan-2025,NRL-NUR-002,Neurology,Nurse,Contract,Female,52,15.2,Night,2.7,0,0,10,77007
1-Jan-2025,NRL-NUR-003,Neurology,Nurse,Contract,Male,49,26.1,Day,0.2,0,0,8.9,107308
1-Jan-2025,NRL-NUR-004,Neurology,Nurse,FTE,Female,51,19.9,Night,2.6,0,0,10,78631
1-Jan-2025,NRL-NUR-005,Neurology,Nurse,FTE,Male,49,8.9,Rotational,0,0,0,6.1,78789
1-Jan-2025,NRL-NUR-006,Neurology,Nurse,FTE,Male,53,21.7,Day,1.4,0,0,10,72063
1-Jan-2025,NRL-NUR-007,Neurology,Nurse,Agency,Male,46,10.9,Night,1.2,0,0,6.3,75725
1-Jan-2025,NRL-NUR-008,Neurology,Nurse,Contract,Male,55,5.4,Night,1.3,0,0,5.8,68249
1-Jan-2025,NRL-TEC-001,Neurology,Technician,FTE,Female,34,4.2,Night,2.8,0,0,5.8,48707
1-Jan-2025,NRL-TEC-002,Neurology,Technician,FTE,Female,49,10.9,Night,1,0,0,6.9,46650
1-Jan-2025,NRL-TEC-003,Neurology,Technician,Agency,Male,44,16.6,Night,2.3,0,0,7.6,54028
1-Jan-2025,NRL-TEC-004,Neurology,Technician,Agency,Female,47,14.4,Day,0.5,0,0,6,69758
1-Jan-2025,NRL-ADM-001,Neurology,Admin,Contract,Male,52,6.2,Rotational,3,0,0,6.7,35802
1-Jan-2025,NRL-ADM-002,Neurology,Admin,Contract,Female,34,4.5,Night,3.2,0,0,8.5,46405
1-Jan-2025,GYN-DOC-001,Gynecology & OBG,Doctor,FTE,Female,29,1.6,Rotational,0.1,0,0,10,91327
1-Jan-2025,GYN-DOC-002,Gynecology & OBG,Doctor,FTE,Female,41,1.9,Day,1.9,1,0,6.7,115005
1-Jan-2025,GYN-DOC-003,Gynecology & OBG,Doctor,Agency,Female,35,8.5,Rotational,3.7,0,0,9.1,119351
1-Jan-2025,GYN-DOC-004,Gynecology & OBG,Doctor,FTE,Male,26,3.5,Day,3.4,0,0,5.8,91625
1-Jan-2025,GYN-NUR-001,Gynecology & OBG,Nurse,Agency,Male,51,7.6,Night,0.3,0,0,6.2,66949
1-Jan-2025,GYN-NUR-002,Gynecology & OBG,Nurse,Agency,Male,59,8,Rotational,3.5,0,0,8.3,72828
1-Jan-2025,GYN-NUR-003,Gynecology & OBG,Nurse,Contract,Male,42,1.4,Night,2.5,0,0,8.9,50092
1-Jan-2025,GYN-NUR-004,Gynecology & OBG,Nurse,FTE,Male,25,1.1,Rotational,3.4,0,0,7.7,41669
1-Jan-2025,GYN-NUR-005,Gynecology & OBG,Nurse,FTE,Female,32,1.7,Night,0.8,0,0,7.9,63081
1-Jan-2025,GYN-NUR-006,Gynecology & OBG,Nurse,FTE,Male,52,22.5,Day,0.1,0,0,6.8,104631
1-Jan-2025,GYN-TEC-001,Gynecology & OBG,Technician,Contract,Male,52,27.4,Night,0.2,0,0,10,64674
1-Jan-2025,GYN-TEC-002,Gynecology & OBG,Technician,FTE,Male,59,10.4,Day,1.7,0,1,8,59206
1-Jan-2025,GYN-TEC-003,Gynecology & OBG,Technician,Contract,Female,55,9,Night,3.8,0,0,8.3,60437
1-Jan-2025,GYN-TEC-004,Gynecology & OBG,Technician,Agency,Female,33,7.6,Night,0.6,0,0,9.6,67792
1-Jan-2025,GYN-ADM-001,Gynecology & OBG,Admin,FTE,Female,36,9.8,Day,2.3,0,0,9.5,59203
1-Jan-2025,GYN-ADM-002,Gynecology & OBG,Admin,Agency,Male,54,24.3,Rotational,3.7,0,0,10,71796
1-Jan-2025,PED-DOC-001,Pediatrics,Doctor,Agency,Male,32,7.9,Rotational,0.7,0,0,10,128220
1-Jan-2025,PED-DOC-002,Pediatrics,Doctor,Contract,Male,49,18.3,Day,3.3,0,0,8.6,136349
1-Jan-2025,PED-NUR-001,Pediatrics,Nurse,Agency,Male,25,2.8,Day,1.3,0,0,9.8,65080
1-Jan-2025,PED-NUR-002,Pediatrics,Nurse,FTE,Male,39,4.8,Day,3.8,0,0,7.7,53807
1-Jan-2025,PED-NUR-003,Pediatrics,Nurse,FTE,Male,36,11.9,Day,2.8,0,0,7.3,55458
1-Jan-2025,PED-NUR-004,Pediatrics,Nurse,Contract,Female,30,6.8,Night,3.3,0,0,10,80986
1-Jan-2025,PED-NUR-005,Pediatrics,Nurse,Contract,Female,36,10.7,Rotational,0.5,0,0,9,54279
1-Jan-2025,PED-NUR-006,Pediatrics,Nurse,Agency,Male,26,3.3,Night,1.7,0,0,9.9,54157
1-Jan-2025,PED-NUR-007,Pediatrics,Nurse,FTE,Male,44,14.3,Night,2.4,0,0,7.2,54797
1-Jan-2025,PED-NUR-008,Pediatrics,Nurse,Contract,Male,56,24.7,Night,3.2,0,0,9.2,109565
1-Jan-2025,PED-TEC-001,Pediatrics,Technician,Agency,Female,27,4.6,Night,0.2,0,0,9.3,54253
1-Jan-2025,PED-TEC-002,Pediatrics,Technician,Agency,Female,36,5.1,Rotational,0.2,0,0,7.1,45039
1-Jan-2025,PED-TEC-003,Pediatrics,Technician,FTE,Male,41,6,Day,1.2,0,0,10,41056
1-Jan-2025,PED-TEC-004,Pediatrics,Technician,Contract,Male,29,1.5,Rotational,0.2,0,0,8.8,61618
1-Jan-2025,PED-ADM-001,Pediatrics,Admin,Agency,Female,25,2,Night,2,0,0,7.9,48093
1-Jan-2025,PED-ADM-002,Pediatrics,Admin,FTE,Female,34,8.5,Night,1.6,0,0,7.7,49910
1-Jan-2025,PED-ADM-003,Pediatrics,Admin,FTE,Male,51,4.6,Night,4,0,0,5.3,53594
1-Jan-2025,ORT-DOC-001,Orthopedics,Doctor,Agency,Female,37,7,Day,0.8,0,0,9.4,136365
1-Jan-2025,ORT-DOC-002,Orthopedics,Doctor,Agency,Male,41,4.8,Day,0.5,0,0,6.2,105996
1-Jan-2025,ORT-DOC-003,Orthopedics,Doctor,FTE,Male,53,11.9,Day,2,0,0,7.6,140893
1-Jan-2025,ORT-NUR-001,Orthopedics,Nurse,FTE,Male,53,26.9,Night,3.3,0,0,6.8,102185
1-Jan-2025,ORT-NUR-002,Orthopedics,Nurse,Contract,Male,38,12.8,Rotational,2.5,0,0,8.2,87640
1-Jan-2025,ORT-NUR-003,Orthopedics,Nurse,Contract,Male,35,2.1,Day,2.2,0,0,6.8,65974
1-Jan-2025,ORT-NUR-004,Orthopedics,Nurse,FTE,Male,36,9.5,Night,0.6,0,0,8.8,78337
1-Jan-2025,ORT-NUR-005,Orthopedics,Nurse,Agency,Female,33,8.4,Day,1.9,0,0,6.6,67378
1-Jan-2025,ORT-NUR-006,Orthopedics,Nurse,Agency,Male,54,1.5,Night,0.1,0,0,9.7,57799
1-Jan-2025,ORT-TEC-001,Orthopedics,Technician,FTE,Male,36,12.5,Day,3.7,0,0,8.1,57074
1-Jan-2025,ORT-TEC-002,Orthopedics,Technician,Agency,Male,30,3.4,Day,2.5,0,0,7.4,41882
1-Jan-2025,ORT-TEC-003,Orthopedics,Technician,Contract,Female,44,22,Night,0,0,0,9.8,85948
1-Jan-2025,ORT-TEC-004,Orthopedics,Technician,FTE,Male,53,20.9,Rotational,2.7,0,0,7.6,85633
1-Jan-2025,ORT-TEC-005,Orthopedics,Technician,FTE,Male,33,7.5,Rotational,0.7,1,1,9.8,63661
1-Jan-2025,ORT-TEC-006,Orthopedics,Technician,Contract,Female,34,7.7,Day,2.9,0,0,10,45109
1-Jan-2025,ORT-ADM-001,Orthopedics,Admin,FTE,Female,41,10.6,Rotational,3.5,0,0,8.8,42551
1-Jan-2025,ORT-ADM-002,Orthopedics,Admin,Agency,Male,46,11.3,Day,3.9,0,0,7.8,52767
1-Jan-2025,CAR-DOC-001,Cardiology,Doctor,Agency,Female,46,18.9,Night,1.2,0,0,10,128727
1-Jan-2025,CAR-DOC-002,Cardiology,Doctor,Agency,Female,33,7.8,Rotational,1.4,0,0,7.4,105746
1-Jan-2025,CAR-NUR-001,Cardiology,Nurse,FTE,Male,57,18.1,Rotational,1.2,0,0,6.3,61766
1-Jan-2025,CAR-NUR-002,Cardiology,Nurse,Contract,Female,39,15.4,Day,3.7,1,0,6.2,67425
1-Jan-2025,CAR-NUR-003,Cardiology,Nurse,Contract,Male,50,20.7,Day,1.4,0,0,9.7,68847
1-Jan-2025,CAR-NUR-004,Cardiology,Nurse,Agency,Male,60,37.7,Night,2.5,0,0,9.5,100148
1-Jan-2025,CAR-NUR-005,Cardiology,Nurse,Agency,Male,40,5.3,Rotational,0.3,0,0,10,52395
1-Jan-2025,CAR-NUR-006,Cardiology,Nurse,FTE,Male,54,22.3,Rotational,3.4,0,0,5,66731
1-Jan-2025,CAR-NUR-007,Cardiology,Nurse,FTE,Female,57,25,Night,1.8,0,0,6.5,82144
1-Jan-2025,CAR-TEC-001,Cardiology,Technician,FTE,Male,27,4.1,Rotational,4,0,0,9.3,44550
1-Jan-2025,CAR-TEC-002,Cardiology,Technician,FTE,Male,43,9.9,Rotational,3.6,0,0,6.4,66635
1-Jan-2025,CAR-TEC-003,Cardiology,Technician,Agency,Male,41,5.4,Day,2.1,1,0,7.6,55158
1-Jan-2025,CAR-TEC-004,Cardiology,Technician,Contract,Male,54,24.6,Rotational,3.3,0,0,8.3,79836
1-Jan-2025,CAR-ADM-001,Cardiology,Admin,FTE,Female,42,10.6,Rotational,0.8,0,0,8.4,60596
1-Jan-2025,CAR-ADM-002,Cardiology,Admin,Contract,Female,46,11.7,Day,1.1,0,0,7.7,59653
1-Jan-2025,PUL-DOC-001,Pulmonology,Doctor,Agency,Male,56,20.8,Rotational,1.8,0,0,10,130598
1-Jan-2025,PUL-DOC-002,Pulmonology,Doctor,FTE,Male,29,4.2,Day,2.5,1,0,10,108515
1-Jan-2025,PUL-DOC-003,Pulmonology,Doctor,Agency,Female,29,4.9,Night,2.7,0,0,6.6,132164
1-Jan-2025,PUL-DOC-004,Pulmonology,Doctor,Agency,Female,54,22.8,Day,1.3,0,0,6.2,144438
1-Jan-2025,PUL-NUR-001,Pulmonology,Nurse,Agency,Male,38,10.5,Rotational,3.9,0,0,5.8,76860
1-Jan-2025,PUL-NUR-002,Pulmonology,Nurse,Agency,Female,49,16,Day,0.4,0,0,7.1,58709
1-Jan-2025,PUL-NUR-003,Pulmonology,Nurse,Contract,Female,35,4.8,Night,2.3,0,0,8.3,67245
1-Jan-2025,PUL-NUR-004,Pulmonology,Nurse,Agency,Female,49,12.2,Day,3.5,0,0,8.7,85705
1-Jan-2025,PUL-NUR-005,Pulmonology,Nurse,Agency,Male,37,9.8,Day,2.2,0,0,7,53597
1-Jan-2025,PUL-NUR-006,Pulmonology,Nurse,FTE,Female,31,8.9,Rotational,1.7,0,0,7.9,49629
1-Jan-2025,PUL-NUR-007,Pulmonology,Nurse,Agency,Female,50,7.6,Day,1.6,0,0,7.3,49650
1-Jan-2025,PUL-NUR-008,Pulmonology,Nurse,Contract,Female,41,18.3,Night,0.6,0,0,9,83198
1-Jan-2025,PUL-TEC-001,Pulmonology,Technician,FTE,Male,58,35.4,Night,1.4,0,0,5.4,94472
1-Jan-2025,PUL-TEC-002,Pulmonology,Technician,Agency,Female,53,17.1,Rotational,3.5,0,1.4,4.8,61333
1-Jan-2025,PUL-TEC-003,Pulmonology,Technician,Contract,Male,35,9.4,Rotational,1.9,0,0,9.1,56410
1-Jan-2025,PUL-TEC-004,Pulmonology,Technician,Contract,Female,35,4.1,Rotational,0.8,0,0,7.6,47891
1-Jan-2025,PUL-TEC-005,Pulmonology,Technician,FTE,Male,60,7.4,Rotational,3.3,0,0,9.7,51967
1-Jan-2025,PUL-ADM-001,Pulmonology,Admin,Agency,Male,56,18.1,Day,1.3,0,0,7.6,58508
1-Jan-2025,PUL-ADM-002,Pulmonology,Admin,Agency,Male,33,6.4,Rotational,0.3,0,0,8.4,44283
1-Jan-2025,PUL-ADM-003,Pulmonology,Admin,FTE,Female,55,29.6,Night,2.2,0,0,8.4,54779
2-Jan-2025,GM-DOC-001,General Medicine,Doctor,Agency,Male,32,9.8,Rotational,2.7,0,0,9.7,124443
2-Jan-2025,GM-DOC-002,General Medicine,Doctor,Contract,Male,52,10.6,Night,0.7,0,0,9,149553
2-Jan-2025,GM-DOC-003,General Medicine,Doctor,Agency,Male,44,2.2,Rotational,1.8,0,0,8.8,90712
2-Jan-2025,GM-NUR-001,General Medicine,Nurse,Agency,Female,48,12.8,Rotational,3.3,0,0,6.7,76440
2-Jan-2025,GM-NUR-002,General Medicine,Nurse,Contract,Male,35,9.8,Day,0.8,0,0,6.7,74868
2-Jan-2025,GM-NUR-003,General Medicine,Nurse,Contract,Male,39,8.3,Rotational,1.3,0,0,7.2,55149
2-Jan-2025,GM-NUR-004,General Medicine,Nurse,Agency,Male,29,1.5,Day,2.8,0,0,7.2,59105
2-Jan-2025,GM-NUR-005,General Medicine,Nurse,FTE,Male,59,28.4,Night,3.8,0,0,6.2,95083
2-Jan-2025,GM-NUR-006,General Medicine,Nurse,Contract,Female,34,4,Rotational,3.3,0,0,7.3,73017
2-Jan-2025,GM-NUR-007,General Medicine,Nurse,Contract,Male,55,14.4,Day,3,0,0,5.7,72174
2-Jan-2025,GM-TEC-001,General Medicine,Technician,FTE,Female,52,16.5,Night,3.2,0,0,8.8,64746
2-Jan-2025,GM-TEC-002,General Medicine,Technician,Contract,Female,43,4,Night,0.9,0,0,7.2,63291
2-Jan-2025,GM-TEC-003,General Medicine,Technician,Agency,Female,54,30.6,Rotational,1,0,0,7.3,75851
2-Jan-2025,GM-TEC-004,General Medicine,Technician,FTE,Female,46,23,Night,0.8,0,0,7.5,59242
2-Jan-2025,GM-ADM-001,General Medicine,Admin,Agency,Female,29,2.6,Day,3.5,0,0,6.6,40519
2-Jan-2025,GM-ADM-002,General Medicine,Admin,FTE,Male,37,5.2,Day,0.3,0,0,9,40153
2-Jan-2025,GM-ADM-003,General Medicine,Admin,FTE,Male,44,15.9,Night,0.8,0,0,8.7,65544
2-Jan-2025,GS-DOC-001,General Surgery,Doctor,FTE,Male,40,4.6,Rotational,2,1,0,8,116125
2-Jan-2025,GS-DOC-002,General Surgery,Doctor,Agency,Male,33,10,Night,3.9,0,0,4.8,134291
2-Jan-2025,GS-DOC-003,General Surgery,Doctor,Agency,Male,40,10,Day,1.9,0,0,7.4,112746
2-Jan-2025,GS-DOC-004,General Surgery,Doctor,FTE,Female,52,3.9,Rotational,0.8,0,0,7.4,90657
2-Jan-2025,GS-NUR-001,General Surgery,Nurse,FTE,Male,35,2.5,Day,2.9,0,0,7.5,44912
2-Jan-2025,GS-NUR-002,General Surgery,Nurse,Agency,Male,59,31,Night,2.1,0,0,9.2,117684
2-Jan-2025,GS-NUR-003,General Surgery,Nurse,Contract,Male,58,7.2,Rotational,2,0,0.5,8.3,57873
2-Jan-2025,GS-NUR-004,General Surgery,Nurse,FTE,Male,53,22.7,Rotational,0.6,0,0,10,62756
2-Jan-2025,GS-NUR-005,General Surgery,Nurse,Agency,Female,29,1.2,Day,1.9,0,0,9.1,47657
2-Jan-2025,GS-NUR-006,General Surgery,Nurse,Contract,Female,47,15.6,Night,3.7,1,0,10,95143
2-Jan-2025,GS-NUR-007,General Surgery,Nurse,FTE,Male,30,4.7,Night,3.3,0,0,6.6,52382
2-Jan-2025,GS-NUR-008,General Surgery,Nurse,FTE,Female,60,17.9,Night,3.1,1,0,7.9,66172
2-Jan-2025,GS-TEC-001,General Surgery,Technician,Agency,Male,55,27.5,Day,3,0,0,10,98530
2-Jan-2025,GS-TEC-002,General Surgery,Technician,Agency,Male,39,3.7,Rotational,1.9,0,0.3,9.4,62244
2-Jan-2025,GS-TEC-003,General Surgery,Technician,FTE,Male,60,33.2,Day,0.3,0,0,9.8,90067
2-Jan-2025,GS-TEC-004,General Surgery,Technician,Contract,Male,46,18.5,Night,3.3,0,0,10,69981
2-Jan-2025,GS-ADM-001,General Surgery,Admin,FTE,Female,32,2.4,Night,1.3,0,0,5.6,33878
2-Jan-2025,GS-ADM-002,General Surgery,Admin,Contract,Female,51,6.6,Night,3.5,0,0,7.7,47878
2-Jan-2025,GS-ADM-003,General Surgery,Admin,FTE,Female,51,26.2,Night,2.1,0,0,8.3,52516
2-Jan-2025,NEU-DOC-001,Nephrology,Doctor,FTE,Male,48,6.2,Day,2.9,0,0,7,94912
2-Jan-2025,NEU-DOC-002,Nephrology,Doctor,Agency,Female,35,5.4,Rotational,4,0,0,7.8,113686
2-Jan-2025,NEU-DOC-003,Nephrology,Doctor,FTE,Female,50,6.8,Day,3.7,0,0,9,95735
2-Jan-2025,NEU-NUR-001,Nephrology,Nurse,FTE,Male,47,21,Day,3,0,0,10,86870
2-Jan-2025,NEU-NUR-002,Nephrology,Nurse,FTE,Male,51,3.3,Night,3.8,0,0,8.5,43838
2-Jan-2025,NEU-NUR-003,Nephrology,Nurse,Contract,Female,35,12.5,Day,2.9,0,0,9,68942
2-Jan-2025,NEU-NUR-004,Nephrology,Nurse,Contract,Male,28,3.2,Day,2.8,0,0,5.8,74548
2-Jan-2025,NEU-NUR-005,Nephrology,Nurse,Contract,Female,25,2.5,Night,0.9,0,0,9.5,48809
2-Jan-2025,NEU-NUR-006,Nephrology,Nurse,Agency,Male,41,13.7,Rotational,1.5,0,0,10,85798
2-Jan-2025,NEU-NUR-007,Nephrology,Nurse,Contract,Male,35,5.8,Day,0.7,0,0,10,50783
2-Jan-2025,NEU-TEC-001,Nephrology,Technician,Agency,Female,41,7.7,Day,0.6,0,0,7.3,61163
2-Jan-2025,NEU-TEC-002,Nephrology,Technician,Agency,Female,53,25.8,Rotational,3.4,0,0,7.3,66460
2-Jan-2025,NEU-TEC-003,Nephrology,Technician,Contract,Male,27,1.3,Rotational,0.4,1,0,7.8,38155
2-Jan-2025,NEU-TEC-004,Nephrology,Technician,Agency,Male,55,1.1,Rotational,2.8,0,0,9.9,54655
2-Jan-2025,NEU-TEC-005,Nephrology,Technician,Agency,Male,52,25.7,Rotational,0.3,0,1.5,7.4,69396
2-Jan-2025,NEU-TEC-006,Nephrology,Technician,Contract,Male,54,21.7,Night,2.9,0,0,7.1,67443
2-Jan-2025,NEU-ADM-001,Nephrology,Admin,Contract,Female,53,7.2,Night,3,0,0,9.3,57907
2-Jan-2025,NEU-ADM-002,Nephrology,Admin,FTE,Female,60,3.2,Night,2.2,0,0,5.2,50139
2-Jan-2025,NRL-DOC-001,Neurology,Doctor,Agency,Male,42,13.5,Day,0.7,0,0,10,140807
2-Jan-2025,NRL-DOC-002,Neurology,Doctor,Contract,Male,42,18.6,Day,2.3,0,0,8.1,140801
2-Jan-2025,NRL-DOC-003,Neurology,Doctor,Contract,Male,48,23.9,Night,1.7,0,0,6.9,166212
2-Jan-2025,NRL-DOC-004,Neurology,Doctor,Contract,Female,47,15.2,Rotational,3.3,0,0,7.7,163512
2-Jan-2025,NRL-NUR-001,Neurology,Nurse,Agency,Female,59,7.2,Night,2.2,0,0,7.5,50142
2-Jan-2025,NRL-NUR-002,Neurology,Nurse,Contract,Female,52,15.2,Rotational,2,0,1.3,5.9,77007
2-Jan-2025,NRL-NUR-003,Neurology,Nurse,Contract,Male,49,26.1,Night,0.6,0,0,6.4,107308
2-Jan-2025,NRL-NUR-004,Neurology,Nurse,FTE,Female,51,19.9,Day,0.7,0,0,9.2,78631
2-Jan-2025,NRL-NUR-005,Neurology,Nurse,FTE,Male,49,8.9,Day,2.4,0,0,7.4,78789
2-Jan-2025,NRL-NUR-006,Neurology,Nurse,FTE,Male,53,21.7,Rotational,2.7,0,0,8.2,72063
2-Jan-2025,NRL-NUR-007,Neurology,Nurse,Agency,Male,46,10.9,Rotational,1.3,0,0,10,75725
2-Jan-2025,NRL-NUR-008,Neurology,Nurse,Contract,Male,55,5.4,Day,3.7,0,0,9,68249
2-Jan-2025,NRL-TEC-001,Neurology,Technician,FTE,Female,34,4.2,Rotational,0.9,0,0,8,48707
2-Jan-2025,NRL-TEC-002,Neurology,Technician,FTE,Female,49,10.9,Day,3.8,0,0,7.2,46650
2-Jan-2025,NRL-TEC-003,Neurology,Technician,Agency,Male,44,16.6,Day,3.9,0,0,10,54028
2-Jan-2025,NRL-TEC-004,Neurology,Technician,Agency,Female,47,14.4,Day,3.8,0,0,10,69758
2-Jan-2025,NRL-ADM-001,Neurology,Admin,Contract,Male,52,6.2,Night,3.8,0,0,7,35802
2-Jan-2025,NRL-ADM-002,Neurology,Admin,Contract,Female,34,4.5,Night,2.4,0,0,8.6,46405
