date,department,prescriptions_dispensed,pharmacy_revenue,revenue_per_prescription,revenue_per_user,avg_dispensing_time,turnaround_time,top_drug_name,top_drug_volume,top_drug_cost,high_cost_drug_name,high_cost_drug_utilization,high_cost_drug_cost,dispensing_errors,near_miss_events,medication_alerts,patient_satisfaction_score
2-Jan-2025,Orthopedics,104,50648,487,1012.96,7.7,32.7,Calcium,27,3591,Diclofenac,1,1764,0,0,0,4.2
2-Jan-2025,Cardiology,186,159030,855,1359.230769,16.1,25.1,Clopidogrel,30,3480,Amiodarone,0,0,0,0,1,4.13
2-Jan-2025,Pulmonology,78,44616,572,1312.235294,7.9,35.9,Salbutamol Inhaler,10,1540,Salbutamol Inhaler,6,8448,0,0,0,4.64
3-Jan-2025,General Medicine,202,87264,432,623.3142857,8,29,Metformin,42,5040,Amoxicillin,13,15691,0,0,1,4.02
3-Jan-2025,General Surgery,49,36456,744,1736,11,16,Tramadol,8,1248,Ceftriaxone,3,2544,0,0,0,4.63
3-Jan-2025,Nephrology,80,104320,1304,1931.851852,15.8,38.8,Erythropoietin,23,3082,Furosemide,2,3208,0,0,0,4.23
3-Jan-2025,Neurology,72,26568,369,738,6.6,17.6,Levetiracetam,11,1067,Levetiracetam,7,5467,0,0,0,3.81
3-Jan-2025,Gynecology & OBG,81,36126,446,1032.171429,13,19,Calcium,23,4117,Oxytocin,5,6775,0,0,0,4.45
3-Jan-2025,Pediatrics,254,56896,224,334.6823529,13.8,36.8,Amoxicillin Syrup,39,1014,Paracetamol Syrup,18,20142,0,0,0,3.69
3-Jan-2025,Orthopedics,98,49588,506,1180.666667,18,45,Diclofenac,27,621,Vitamin D3,0,0,0,0,0,4.56
3-Jan-2025,Cardiology,102,81294,797,1290.380952,16.5,42.5,Amiodarone,21,2058,Atorvastatin,2,1520,0,0,1,4.2
3-Jan-2025,Pulmonology,48,46608,971,2219.428571,12.3,32.3,Montelukast,10,950,Salbutamol Inhaler,2,2480,0,0,0,4.09
4-Jan-2025,General Medicine,87,38976,448,649.6,8.6,20.6,Metformin,10,1650,Metformin,4,3280,0,0,0,3.48
4-Jan-2025,General Surgery,36,15876,441,529.2,16.8,35.8,Tramadol,6,1164,Diclofenac,1,674,0,0,0,4.52
4-Jan-2025,Nephrology,149,127395,855,1959.923077,7.3,12.3,Sevelamer,33,1254,Furosemide,7,7154,0,0,0,4.03
4-Jan-2025,Neurology,39,8580,220,317.7777778,7.8,12.8,Levetiracetam,4,744,Levetiracetam,2,1812,0,0,0,4.33
4-Jan-2025,Gynecology & OBG,206,51294,249,569.9333333,17.2,37.2,Iron-Folic Acid,23,2852,Iron-Folic Acid,3,5439,0,0,2,3.59
4-Jan-2025,Pediatrics,176,36256,206,503.5555556,13.8,29.8,Amoxicillin Syrup,31,2170,Paracetamol Syrup,13,23543,0,0,0,4.21
4-Jan-2025,Orthopedics,76,40052,527,715.2142857,16.3,26.3,Diclofenac,9,918,Calcium,5,7910,0,0,0,3.96
4-Jan-2025,Cardiology,208,305136,1467,3428.494382,11.1,28.1,Amiodarone,36,1296,Aspirin,19,21793,0,0,2,3.53
4-Jan-2025,Pulmonology,108,47952,444,570.8571429,15.5,35.5,Budesonide,14,1092,Montelukast,9,10872,0,0,1,4.67
5-Jan-2025,General Medicine,113,34352,304,399.4418605,13.5,36.5,Paracetamol,15,465,Paracetamol,1,598,0,0,0,3.92
5-Jan-2025,General Surgery,39,18486,474,684.6666667,12.9,42.9,Diclofenac,9,1179,Tramadol,0,0,0,0,0,3.82
5-Jan-2025,Nephrology,39,47229,1211,1889.16,14.2,26.2,Sevelamer,6,534,Erythropoietin,2,1026,0,0,0,3.99
5-Jan-2025,Neurology,51,24480,480,1020,8.4,31.4,Sodium Valproate,6,180,Levetiracetam,4,7704,0,0,0,4.82
5-Jan-2025,Gynecology & OBG,95,38950,410,846.7391304,10.4,39.4,Metronidazole,23,2047,Calcium,1,1293,0,0,0,4.77
5-Jan-2025,Pediatrics,206,137402,667,1509.912088,13.8,32.8,Paracetamol Syrup,32,896,Paracetamol Syrup,2,3692,0,0,0,4.56
5-Jan-2025,Orthopedics,42,22806,543,1200.315789,5,32,Diclofenac,4,440,Vitamin D3,3,2547,0,0,0,4.65
5-Jan-2025,Cardiology,66,59730,905,1456.829268,14.8,33.8,Clopidogrel,15,840,Clopidogrel,6,3546,0,0,0,4.89
5-Jan-2025,Pulmonology,68,51612,759,1911.555556,9.4,32.4,Azithromycin,20,560,Salbutamol Inhaler,6,9384,0,0,0,3.6
6-Jan-2025,General Medicine,262,120258,459,962.064,18.4,26.4,Amoxicillin,41,7585,Paracetamol,21,11592,0,0,0,3.78
6-Jan-2025,General Surgery,89,45657,513,1233.972973,16.4,43.4,Ceftriaxone,15,1575,Pantoprazole,3,2619,0,0,0,4.66
6-Jan-2025,Nephrology,88,118272,1344,2004.610169,15.2,31.2,Sevelamer,25,1125,Erythropoietin,5,4705,0,0,0,3.77
6-Jan-2025,Neurology,114,39330,345,715.0909091,17.7,38.7,Sodium Valproate,11,704,Aspirin,9,9171,0,0,0,3.71
6-Jan-2025,Gynecology & OBG,203,61103,301,664.1630435,16,24,Metronidazole,28,5152,Calcium,13,11206,0,0,0,3.42
6-Jan-2025,Pediatrics,255,165240,648,1424.482759,10.7,16.7,Amoxicillin Syrup,55,6435,Amoxicillin Syrup,18,31320,0,0,1,3.51
6-Jan-2025,Orthopedics,72,15840,220,273.1034483,19,29,Paracetamol,8,1000,Calcium,1,625,0,0,0,4.46
6-Jan-2025,Cardiology,235,345920,1472,2217.435897,14.9,43.9,Clopidogrel,45,1485,Clopidogrel,0,0,0,0,2,3.71
6-Jan-2025,Pulmonology,67,64990,970,2321.071429,5.2,31.2,Salbutamol Inhaler,9,270,Budesonide,2,3086,0,0,0,3.55
7-Jan-2025,General Medicine,202,41006,203,465.9772727,13.8,43.8,Paracetamol,44,6116,Amlodipine,7,4361,0,0,0,4.04
7-Jan-2025,General Surgery,52,35360,680,1683.809524,14.9,22.9,Pantoprazole,10,580,Tramadol,2,3116,0,0,0,4.23
7-Jan-2025,Nephrology,217,176421,813,1857.063158,9.3,15.3,Sevelamer,60,4320,Tacrolimus,15,14745,0,0,1,4.19
7-Jan-2025,Neurology,48,28416,592,1184,18.1,47.1,Clopidogrel,12,1368,Clopidogrel,0,0,0,0,0,4.65
7-Jan-2025,Gynecology & OBG,160,58720,367,838.8571429,6.4,33.4,Calcium,18,3348,Calcium,12,15168,0,0,1,3.6
7-Jan-2025,Pediatrics,85,28220,332,855.1515152,17.2,39.2,Salbutamol,24,4656,Amoxicillin Syrup,0,0,0,0,0,4.57
7-Jan-2025,Orthopedics,120,55080,459,918,10.8,26.8,Calcium,28,4368,Vitamin D3,1,1433,0,0,1,4.75
7-Jan-2025,Cardiology,120,148320,1236,2060,12.1,35.1,Clopidogrel,34,5780,Aspirin,11,17919,0,0,1,3.78
7-Jan-2025,Pulmonology,155,94550,610,1390.441176,12.3,34.3,Azithromycin,34,1258,Montelukast,12,21396,0,0,0,3.58
8-Jan-2025,General Medicine,152,98800,650,823.3333333,8.6,34.6,Metformin,15,2265,Amlodipine,14,15274,0,0,0,4.59
8-Jan-2025,General Surgery,75,38625,515,1207.03125,19.4,29.4,Ceftriaxone,7,931,Tramadol,0,0,0,0,0,3.9
8-Jan-2025,Nephrology,45,42165,937,2007.857143,14.4,21.4,Erythropoietin,12,2352,Sevelamer,4,4904,0,0,0,3.54
8-Jan-2025,Neurology,136,53992,397,899.8666667,10.3,27.3,Aspirin,20,3140,Clopidogrel,4,4044,0,0,1,4.26
8-Jan-2025,Gynecology & OBG,113,39663,351,881.4,9.4,34.4,Iron-Folic Acid,18,558,Calcium,2,1512,0,0,1,4.75
8-Jan-2025,Pediatrics,310,211730,683,1556.838235,10,32,Amoxicillin Syrup,32,5888,Salbutamol,28,51548,0,0,0,4.61
8-Jan-2025,Orthopedics,94,41830,445,1045.75,12.7,19.7,Paracetamol,11,1815,Vitamin D3,3,2628,0,0,0,4.74
8-Jan-2025,Cardiology,169,242515,1435,3322.123288,9.7,37.7,Atorvastatin,29,5481,Amiodarone,14,10780,0,0,0,4.17
8-Jan-2025,Pulmonology,134,116714,871,2122.072727,19.5,24.5,Montelukast,17,714,Budesonide,9,10233,0,0,0,4.77
9-Jan-2025,General Medicine,70,27020,386,643.3333333,18.9,31.9,Paracetamol,9,1008,Amoxicillin,2,1314,0,0,0,3.77
9-Jan-2025,General Surgery,35,23310,666,932.4,18.2,42.2,Pantoprazole,7,1190,Tramadol,3,4071,0,0,0,4.1
9-Jan-2025,Nephrology,52,33540,645,838.5,10.5,28.5,Tacrolimus,5,845,Furosemide,3,2583,0,0,0,4.17
9-Jan-2025,Neurology,130,72800,560,1120,7.4,14.4,Levetiracetam,19,627,Aspirin,13,21593,0,0,1,4.72
9-Jan-2025,Gynecology & OBG,28,13076,467,726.4444444,9.2,31.2,Metronidazole,5,305,Metronidazole,1,1501,0,0,0,3.87
9-Jan-2025,Pediatrics,156,93600,600,1231.578947,6.3,23.3,ORS,22,1738,ORS,5,3550,0,0,1,4.32
9-Jan-2025,Orthopedics,99,28116,284,351.45,16.5,46.5,Vitamin D3,22,4246,Paracetamol,3,5148,0,0,0,4.12
9-Jan-2025,Cardiology,316,259436,821,1907.617647,14.5,43.5,Amiodarone,42,6426,Amiodarone,28,40796,0,0,2,3.73
9-Jan-2025,Pulmonology,115,53130,462,870.9836066,13.4,21.4,Montelukast,15,1500,Salbutamol Inhaler,1,1079,0,0,1,3.83
10-Jan-2025,General Medicine,104,36088,347,721.76,18,43,Paracetamol,10,840,Paracetamol,9,14058,0,0,0,4.61
10-Jan-2025,General Surgery,53,36676,692,1222.533333,14.4,30.4,Pantoprazole,5,465,Tramadol,3,3825,0,0,0,4.46
10-Jan-2025,Nephrology,103,82915,805,1842.555556,17.5,27.5,Tacrolimus,29,5626,Erythropoietin,0,0,0,0,0,3.33
10-Jan-2025,Neurology,83,39757,479,662.6166667,16.1,34.1,Sodium Valproate,24,1248,Sodium Valproate,8,9120,0,0,0,4.31
10-Jan-2025,Gynecology & OBG,139,86736,624,1521.684211,10.6,30.6,Calcium,34,1156,Metronidazole,11,14905,0,0,0,4.79
10-Jan-2025,Pediatrics,81,17982,222,544.9090909,11.4,19.4,Amoxicillin Syrup,24,3936,Paracetamol Syrup,8,14456,0,0,0,3.98
10-Jan-2025,Orthopedics,184,55384,301,692.3,16,37,Vitamin D3,38,5738,Diclofenac,1,1845,0,0,1,3.72
10-Jan-2025,Cardiology,126,187236,1486,2152.137931,12.3,33.3,Amiodarone,19,1520,Clopidogrel,7,13125,0,0,0,4.37
10-Jan-2025,Pulmonology,167,114896,688,1573.917808,15.5,22.5,Azithromycin,50,3300,Montelukast,5,6305,0,0,1,3.91
11-Jan-2025,General Medicine,77,27643,359,542.0196078,11.3,23.3,Paracetamol,13,611,Amoxicillin,4,7228,0,0,0,3.87
11-Jan-2025,General Surgery,95,43795,461,1122.948718,7.1,25.1,Diclofenac,25,3650,Tramadol,4,4612,0,0,0,4.57
11-Jan-2025,Nephrology,35,32725,935,2181.666667,8.2,34.2,Furosemide,4,768,Sevelamer,3,1509,0,0,0,4.67
11-Jan-2025,Neurology,72,38088,529,1190.25,9.1,29.1,Sodium Valproate,16,352,Clopidogrel,7,6041,0,0,0,4.12
11-Jan-2025,Gynecology & OBG,68,28356,417,886.125,17.8,33.8,Oxytocin,13,364,Iron-Folic Acid,4,6692,0,0,0,3.87
11-Jan-2025,Pediatrics,123,65436,532,1090.6,7.1,20.1,Salbutamol,26,702,ORS,2,2854,0,0,0,3.93
11-Jan-2025,Orthopedics,39,17355,445,964.1666667,8.8,26.8,Paracetamol,3,249,Calcium,0,0,0,0,0,4.07
11-Jan-2025,Cardiology,100,62400,624,1356.521739,5.5,21.5,Amiodarone,14,2044,Atorvastatin,10,6150,0,0,1,4.47
11-Jan-2025,Pulmonology,100,58400,584,1390.47619,10,25,Salbutamol Inhaler,16,1472,Azithromycin,3,3393,0,0,0,3.49
12-Jan-2025,General Medicine,154,33572,218,399.6666667,9.1,28.1,Metformin,43,4042,Metformin,3,1758,0,0,1,4
12-Jan-2025,General Surgery,33,18843,571,1256.2,7.3,23.3,Diclofenac,8,1552,Tramadol,3,4272,0,0,0,3.68
12-Jan-2025,Nephrology,18,26478,1471,2206.5,16.3,42.3,Erythropoietin,4,468,Tacrolimus,0,0,0,0,0,4.41
12-Jan-2025,Neurology,73,48545,665,882.6363636,16.5,28.5,Aspirin,15,660,Levetiracetam,6,8328,0,0,0,4.3
12-Jan-2025,Gynecology & OBG,75,49875,665,1312.5,5.1,31.1,Calcium,18,612,Iron-Folic Acid,4,4744,0,0,0,4.36
12-Jan-2025,Pediatrics,58,12470,215,311.75,7.3,37.3,Paracetamol Syrup,7,1288,ORS,2,1192,0,0,0,3.5
12-Jan-2025,Orthopedics,108,43308,401,849.1764706,14.6,30.6,Calcium,21,3738,Calcium,9,11304,0,0,1,3.73
12-Jan-2025,Cardiology,38,39444,1038,1643.5,14.1,21.1,Amiodarone,8,1392,Amiodarone,2,2358,0,0,0,4.03
12-Jan-2025,Pulmonology,66,52206,791,1631.4375,9.6,19.6,Azithromycin,12,972,Montelukast,1,567,0,0,0,3.95
13-Jan-2025,General Medicine,68,36040,530,621.3793103,7.7,18.7,Amoxicillin,17,2125,Metformin,2,1458,0,0,0,4.11
13-Jan-2025,General Surgery,146,117530,805,1836.40625,10.4,23.4,Tramadol,41,1148,Pantoprazole,7,13769,0,0,0,3.48
13-Jan-2025,Nephrology,46,40250,875,1183.823529,12.6,38.6,Furosemide,5,485,Sevelamer,1,1745,0,0,0,4.62
13-Jan-2025,Neurology,61,14884,244,338.2727273,6.5,28.5,Clopidogrel,9,603,Clopidogrel,5,8455,0,0,0,4.14
13-Jan-2025,Gynecology & OBG,26,9230,355,461.5,7.5,12.5,Iron-Folic Acid,2,252,Calcium,1,1773,0,0,0,3.52
13-Jan-2025,Pediatrics,265,179670,678,971.1891892,15.4,30.4,Paracetamol Syrup,65,8060,Paracetamol Syrup,6,6558,0,0,1,3.57
13-Jan-2025,Orthopedics,162,73386,453,940.8461538,15.2,32.2,Diclofenac,45,5940,Paracetamol,9,12735,0,0,0,3.6
13-Jan-2025,Cardiology,251,325547,1297,2690.471074,11.5,39.5,Amiodarone,48,960,Clopidogrel,10,17730,0,0,2,4.3
13-Jan-2025,Pulmonology,49,29302,598,837.2,18.2,33.2,Budesonide,6,594,Montelukast,2,2112,0,0,0,3.71
14-Jan-2025,General Medicine,216,95040,440,633.6,16,23,Paracetamol,59,6313,Amlodipine,21,29778,0,0,2,3.87
14-Jan-2025,General Surgery,64,49856,779,1107.911111,14.6,29.6,Ceftriaxone,18,2340,Tramadol,4,6844,0,0,0,3.67
14-Jan-2025,Nephrology,188,260380,1385,2893.111111,6.9,27.9,Tacrolimus,43,4558,Erythropoietin,10,12030,0,0,0,4.26
14-Jan-2025,Neurology,84,50904,606,848.4,11.1,41.1,Clopidogrel,20,1320,Clopidogrel,5,5520,0,0,0,3.55
14-Jan-2025,Gynecology & OBG,60,25980,433,866,12.8,17.8,Metronidazole,9,297,Iron-Folic Acid,2,2514,0,0,0,4.62
14-Jan-2025,Pediatrics,158,99224,628,1102.488889,9.8,30.8,Salbutamol,43,8127,ORS,14,10472,0,0,0,4.84
14-Jan-2025,Orthopedics,72,18648,259,582.75,13.6,31.6,Vitamin D3,11,1969,Diclofenac,1,655,0,0,0,4.28
14-Jan-2025,Cardiology,275,384175,1397,3590.420561,15.6,32.6,Amiodarone,43,5031,Atorvastatin,23,32384,0,0,2,4.5
14-Jan-2025,Pulmonology,52,37700,725,1047.222222,15.5,22.5,Montelukast,9,1611,Azithromycin,0,0,0,0,0,4.29
15-Jan-2025,General Medicine,70,35140,502,638.9090909,14.3,40.3,Paracetamol,9,396,Metformin,2,2124,0,0,0,4.54
15-Jan-2025,General Surgery,28,20552,734,978.6666667,5.4,19.4,Ceftriaxone,4,692,Tramadol,1,1205,0,0,0,3.63
15-Jan-2025,Nephrology,90,129960,1444,2320.714286,15,42,Sevelamer,15,2760,Sevelamer,7,10052,0,0,0,3.92
15-Jan-2025,Neurology,48,14016,292,424.7272727,11.3,17.3,Sodium Valproate,8,1112,Levetiracetam,3,5727,0,0,0,4.11
15-Jan-2025,Gynecology & OBG,90,25650,285,570,14.3,22.3,Calcium,16,784,Iron-Folic Acid,6,3534,0,0,0,4.67
15-Jan-2025,Pediatrics,286,144716,506,1071.97037,16.1,37.1,Paracetamol Syrup,52,5720,ORS,20,30600,0,0,1,3.51
15-Jan-2025,Orthopedics,128,65792,514,1096.533333,5.7,23.7,Calcium,18,432,Calcium,4,5652,0,0,1,4.59
15-Jan-2025,Cardiology,210,314160,1496,2473.700787,9.2,23.2,Atorvastatin,50,1650,Aspirin,1,1364,0,0,2,4.21
15-Jan-2025,Pulmonology,87,46458,534,910.9411765,6.6,28.6,Montelukast,18,2718,Salbutamol Inhaler,0,0,0,0,0,4.11
16-Jan-2025,General Medicine,74,27972,378,847.6363636,11.8,27.8,Paracetamol,15,795,Amoxicillin,4,7912,0,0,0,4.48
16-Jan-2025,General Surgery,136,62424,459,975.375,18.8,30.8,Ceftriaxone,22,3630,Tramadol,13,10413,0,0,1,4.22
16-Jan-2025,Nephrology,178,137238,771,1614.564706,18.4,34.4,Erythropoietin,23,1380,Tacrolimus,12,14040,0,0,1,4.07
16-Jan-2025,Neurology,141,47094,334,495.7263158,10.2,40.2,Aspirin,21,2142,Aspirin,4,6808,0,0,0,4.57
16-Jan-2025,Gynecology & OBG,120,34320,286,602.1052632,12,34,Oxytocin,31,2046,Iron-Folic Acid,12,15996,0,0,0,3.97
16-Jan-2025,Pediatrics,93,41199,443,605.8676471,17,31,ORS,14,2604,Salbutamol,8,15672,0,0,0,4.01
16-Jan-2025,Orthopedics,123,81549,663,1430.684211,11.6,38.6,Calcium,17,1547,Diclofenac,5,4150,0,0,0,4.75
16-Jan-2025,Cardiology,108,87588,811,1510.137931,11.4,16.4,Atorvastatin,16,2240,Clopidogrel,0,0,0,0,0,3.51
16-Jan-2025,Pulmonology,26,25506,981,1342.421053,6.7,34.7,Salbutamol Inhaler,7,700,Salbutamol Inhaler,1,1389,0,0,0,4.61
17-Jan-2025,General Medicine,216,49680,230,310.5,10,40,Metformin,49,4606,Amlodipine,4,4612,0,0,2,4.52
17-Jan-2025,General Surgery,139,79091,569,1163.102941,8.2,34.2,Ceftriaxone,18,1548,Ceftriaxone,3,4341,0,0,1,4.01
17-Jan-2025,Nephrology,83,90387,1089,2008.6,7.8,26.8,Erythropoietin,15,2670,Erythropoietin,7,11746,0,0,0,3.69
17-Jan-2025,Neurology,137,94941,693,1483.453125,10.1,18.1,Clopidogrel,39,6396,Clopidogrel,13,19994,0,0,1,3.61
17-Jan-2025,Gynecology & OBG,147,61593,419,962.390625,13.3,41.3,Oxytocin,27,3942,Calcium,2,1828,0,0,0,4.17
17-Jan-2025,Pediatrics,252,158760,630,793.8,16.9,31.9,Paracetamol Syrup,73,14454,Paracetamol Syrup,9,13203,0,0,1,3.25
17-Jan-2025,Orthopedics,54,36666,679,916.65,16.8,21.8,Vitamin D3,7,1295,Vitamin D3,4,4340,0,0,0,3.59
17-Jan-2025,Cardiology,190,126350,665,1052.916667,7.8,23.8,Aspirin,38,2128,Clopidogrel,19,21280,0,0,0,4.72
17-Jan-2025,Pulmonology,129,83205,645,1320.714286,18.3,32.3,Budesonide,38,4218,Salbutamol Inhaler,5,7370,0,0,1,4.59
18-Jan-2025,General Medicine,139,59353,427,638.2043011,5.1,11.1,Paracetamol,25,1725,Paracetamol,12,9120,0,0,1,3.7
18-Jan-2025,General Surgery,140,56420,403,829.7058824,11.9,26.9,Ceftriaxone,15,2925,Ceftriaxone,13,17017,0,0,1,3.34
18-Jan-2025,Nephrology,110,99000,900,1455.882353,6.6,31.6,Sevelamer,30,2760,Sevelamer,5,7030,0,0,0,4.73
18-Jan-2025,Neurology,81,55890,690,859.8461538,19.9,38.9,Levetiracetam,21,2520,Clopidogrel,4,3492,0,0,0,4.23
18-Jan-2025,Gynecology & OBG,49,20727,423,987,16.9,36.9,Calcium,7,357,Calcium,1,1745,0,0,0,4.35
18-Jan-2025,Pediatrics,44,11748,267,391.6,12.6,26.6,ORS,11,1650,Paracetamol Syrup,3,5730,0,0,0,4.83
18-Jan-2025,Orthopedics,35,13720,392,548.8,19.6,48.6,Vitamin D3,10,890,Calcium,3,5421,0,0,0,4.2
18-Jan-2025,Cardiology,142,96418,679,1417.911765,11.8,39.8,Aspirin,39,6318,Amiodarone,11,9625,0,0,0,3.85
18-Jan-2025,Pulmonology,92,37352,406,812,19.4,46.4,Montelukast,23,1725,Azithromycin,0,0,0,0,0,4.72
19-Jan-2025,General Medicine,156,51168,328,752.4705882,19.6,38.6,Metformin,27,3132,Paracetamol,15,16755,0,0,0,4.05
19-Jan-2025,General Surgery,79,50165,635,809.1129032,6.5,23.5,Diclofenac,14,2674,Ceftriaxone,0,0,0,0,0,4.17
19-Jan-2025,Nephrology,24,27600,1150,1725,15,41,Tacrolimus,6,642,Erythropoietin,1,1991,0,0,0,3.48
19-Jan-2025,Neurology,37,18944,512,757.76,16.6,39.6,Aspirin,4,512,Sodium Valproate,2,1058,0,0,0,4.25
19-Jan-2025,Gynecology & OBG,31,17732,572,886.6,15.4,45.4,Metronidazole,8,560,Iron-Folic Acid,1,967,0,0,0,4.13
19-Jan-2025,Pediatrics,96,53952,562,1172.869565,19.4,48.4,Amoxicillin Syrup,22,990,Paracetamol Syrup,8,14904,0,0,0,3.56
19-Jan-2025,Orthopedics,32,9632,301,602,13.1,37.1,Paracetamol,7,1078,Diclofenac,2,3916,0,0,0,4.35
19-Jan-2025,Cardiology,99,148005,1495,3523.928571,8,19,Atorvastatin,13,1417,Clopidogrel,1,910,0,0,0,3.79
19-Jan-2025,Pulmonology,42,41622,991,1982,14.4,38.4,Budesonide,8,1008,Montelukast,1,1833,0,0,0,3.84
20-Jan-2025,General Medicine,344,79808,232,492.6419753,8.3,18.3,Amoxicillin,86,8170,Metformin,26,45240,0,1,0,3.78
20-Jan-2025,General Surgery,52,44980,865,1124.5,7.4,26.4,Diclofenac,15,450,Pantoprazole,0,0,0,0,0,4.5
20-Jan-2025,Nephrology,132,191796,1453,2084.73913,18.9,36.9,Tacrolimus,29,5771,Sevelamer,13,25194,0,0,0,3.73
20-Jan-2025,Neurology,165,77550,470,957.4074074,7.8,18.8,Aspirin,30,900,Sodium Valproate,4,2236,0,0,0,4.02
20-Jan-2025,Gynecology & OBG,213,44943,211,488.5108696,7,34,Calcium,49,5439,Calcium,15,17115,0,0,1,4.09
20-Jan-2025,Pediatrics,123,71709,583,824.2413793,19.4,41.4,ORS,12,852,ORS,0,0,0,0,1,3.45
20-Jan-2025,Orthopedics,159,67416,424,977.0434783,9,29,Vitamin D3,23,2208,Paracetamol,6,9678,0,0,0,3.7
20-Jan-2025,Cardiology,134,174870,1305,2300.921053,15.9,41.9,Atorvastatin,25,3075,Amiodarone,4,5076,0,0,1,4.28
20-Jan-2025,Pulmonology,124,59644,481,994.0666667,8.4,17.4,Salbutamol Inhaler,34,680,Azithromycin,0,0,0,0,1,3.91
21-Jan-2025,General Medicine,141,39339,279,596.0454545,13.8,37.8,Paracetamol,35,5915,Paracetamol,14,11480,0,0,1,4.71
21-Jan-2025,General Surgery,96,94080,980,1960,10.5,23.5,Ceftriaxone,15,1440,Tramadol,5,3065,0,0,0,3.56
21-Jan-2025,Nephrology,83,123255,1485,2567.8125,8.4,24.4,Furosemide,9,1395,Tacrolimus,7,9009,0,0,0,4.55
21-Jan-2025,Neurology,113,71642,634,1302.581818,6.7,14.7,Sodium Valproate,17,2992,Clopidogrel,2,2724,0,0,1,3.78
21-Jan-2025,Gynecology & OBG,174,83172,478,1094.368421,10.7,35.7,Metronidazole,50,8450,Calcium,11,16566,0,0,1,4.54
21-Jan-2025,Pediatrics,115,49335,429,1027.8125,5.3,34.3,Amoxicillin Syrup,22,3014,Amoxicillin Syrup,0,0,0,0,1,3.45
21-Jan-2025,Orthopedics,48,30432,634,922.1818182,13.7,41.7,Paracetamol,9,945,Vitamin D3,4,6592,0,0,0,3.86
21-Jan-2025,Cardiology,93,57102,614,906.3809524,18.1,35.1,Atorvastatin,13,546,Aspirin,4,4876,0,0,0,4.78
21-Jan-2025,Pulmonology,67,45091,673,1409.09375,7.4,26.4,Salbutamol Inhaler,11,1771,Azithromycin,0,0,0,0,0,3.97
22-Jan-2025,General Medicine,244,74908,307,645.7586207,17.1,31.1,Metformin,29,1015,Metformin,6,9420,0,0,1,4.36
22-Jan-2025,General Surgery,134,100366,749,1544.092308,7.5,28.5,Ceftriaxone,24,3960,Pantoprazole,4,4176,0,0,1,4.41
22-Jan-2025,Nephrology,40,32200,805,1341.666667,11.8,23.8,Erythropoietin,6,480,Furosemide,3,3999,0,0,0,3.98
22-Jan-2025,Neurology,69,20631,299,375.1090909,6,21,Clopidogrel,11,1991,Clopidogrel,5,5340,0,0,0,3.53
22-Jan-2025,Gynecology & OBG,204,41004,201,410.04,19.3,25.3,Calcium,49,6419,Metronidazole,9,4842,0,0,0,3.95
22-Jan-2025,Pediatrics,209,98648,472,680.3310345,5.5,30.5,Paracetamol Syrup,36,5256,Amoxicillin Syrup,11,7612,0,0,0,4.33
